Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230724T223130,"(0, 0, 1)",9.71,[545],[0]
20230724T223140,"(0, 1, 0)",5.67,[593],[0]
20230724T223145,"(1, 1, 0)",4.63,[351],[0]
20230724T223150,"(1, 0, 0)",9.94,[276],[0]
20230724T223200,"(0, 0, 1)",3.54,[308],[0]
20230724T223203,"(1, 1, 0)",8.36,[360],[0]
20230724T223212,"(1, 0, 0)",9.68,[298],[0]
20230724T223222,"(0, 1, 0)",2.89,[296],[0]
20230724T223224,"(1, 1, 0)",8.42,[564],[0]
20230724T223233,"(1, 0, 0)",7.35,[301],[0]
20230724T223240,"(0, 0, 1)",8.86,[311],[0]
20230724T223249,"(1, 1, 0)",4.96,[320],[0]
20230724T223254,"(0, 1, 0)",4.94,[372],[0]
20230724T223259,"(1, 1, 0)",6.46,"[327, 5224]","[0, 0]"
20230724T223306,"(0, 1, 0)",1.38,[484],[0]
20230724T223307,"(1, 0, 0)",9.65,[423],[0]
20230724T223317,"(0, 0, 1)",6.09,[338],[0]
20230724T223323,"(1, 0, 0)",9.19,[559],[0]
20230724T223332,"(0, 1, 0)",2.81,[335],[0]
20230724T223335,"(0, 0, 1)",2.64,[372],[0]
20230724T223338,"(1, 1, 0)",6.37,[505],[0]
20230724T223344,"(0, 0, 1)",7.67,[283],[0]
20230724T223352,"(1, 1, 0)",3.58,[346],[0]
20230724T223355,"(0, 1, 0)",1.23,[374],[0]
20230724T223356,"(1, 0, 0)",8.55,"[363, 7972]","[0, 0]"
20230724T223405,"(0, 1, 0)",6.29,[354],[0]
20230724T223411,"(1, 1, 0)",4.87,[383],[0]
20230724T223416,"(0, 1, 0)",8.1,[426],[0]
20230724T223424,"(1, 0, 0)",3.3,[532],[0]
20230724T223428,"(0, 1, 0)",1.48,[390],[0]
20230724T223429,"(0, 0, 1)",1.33,[483],[0]
20230724T223430,"(1, 0, 0)",1.94,[402],[0]
20230724T223432,"(1, 1, 0)",4.12,[331],[0]
20230724T223437,"(0, 1, 0)",2.86,[340],[0]
20230724T223439,"(1, 1, 0)",1.11,[326],[0]
20230724T223441,"(0, 1, 0)",7.72,[322],[0]
20230724T223448,"(0, 0, 1)",8.31,[399],[0]
20230724T223457,"(1, 0, 0)",5.04,[325],[0]
20230724T223502,"(0, 0, 1)",6.78,[359],[0]
20230724T223509,"(1, 0, 0)",9.39,[301],[0]
20230724T223518,"(0, 0, 1)",3.8,[304],[0]
20230724T223522,"(1, 0, 0)",9.55,[464],[0]
20230724T223531,"(0, 0, 1)",1.38,[387],[0]
20230724T223533,"(0, 1, 0)",7.64,[364],[0]
20230724T223540,"(1, 1, 0)",7.2,[337],[0]
20230724T223548,"(0, 1, 0)",7.42,[421],[0]
20230724T223555,"(0, 0, 1)",9.79,[333],[0]
20230724T223605,"(0, 1, 0)",1.23,[459],[0]
20230724T223606,"(0, 0, 1)",7.26,[453],[0]
20230724T223613,"(1, 1, 0)",6.76,[305],[0]
20230724T223620,"(0, 0, 1)",7.27,[504],[0]
20230724T223627,"(1, 0, 0)",3.37,[343],[0]
20230724T223631,"(0, 1, 0)",2.6,[348],[0]
20230724T223633,"(1, 1, 0)",8.13,[298],[0]
20230724T223642,"(0, 1, 0)",4.27,[609],[0]
20230724T223646,"(1, 1, 0)",2.7,[333],[0]
20230724T223649,"(0, 0, 1)",9.1,[382],[0]
20230724T223658,"(1, 0, 0)",8.4,[312],[0]
20230724T223706,"(0, 1, 0)",1.71,[352],[0]
20230724T223708,"(1, 0, 0)",2.35,[327],[0]
20230724T223710,"(0, 1, 0)",3.5,[371],[0]
20230724T223714,"(1, 0, 0)",2.87,[451],[0]
20230724T223717,"(0, 0, 1)",9.16,[660],[0]
20230724T223726,"(1, 0, 0)",8.43,[397],[0]
20230724T223734,"(0, 0, 1)",9.04,[434],[0]
20230724T223743,"(1, 0, 0)",3.97,[294],[0]
20230724T223747,"(0, 0, 1)",2.28,[354],[0]
20230724T223750,"(1, 0, 0)",5.37,[626],[0]
20230724T223755,"(0, 0, 1)",8.87,[326],[0]
20230724T223804,"(0, 1, 0)",7.76,[329],[0]
20230724T223812,"(1, 0, 0)",5.9,[392],[0]
20230724T223818,"(1, 1, 0)",6.34,[3241],[0]
20230724T223824,"(0, 0, 1)",3.06,[320],[0]
20230724T223827,"(1, 1, 0)",2.27,[282],[0]
20230724T223829,"(0, 0, 1)",2.42,[283],[0]
20230724T223832,"(1, 1, 0)",4.71,[523],[0]
20230724T223837,"(1, 0, 0)",8.54,[335],[0]
20230724T223845,"(0, 1, 0)",3.79,[370],[0]
20230724T223849,"(1, 1, 0)",9.43,[953],[0]
20230724T223858,"(0, 1, 0)",4.64,[411],[0]
20230724T223903,"(1, 0, 0)",4.13,[1239],[0]
20230724T223907,"(0, 1, 0)",1.01,[327],[0]
20230724T223908,"(1, 0, 0)",5.58,[293],[0]
20230724T223914,"(0, 0, 1)",3.08,[633],[0]
20230724T223917,"(1, 0, 0)",1.12,[],[]
20230724T223918,"(0, 0, 1)",9.63,[],[]
20230724T223928,"(0, 1, 0)",7.37,[319],[0]
20230724T223935,"(0, 0, 1)",8.82,[379],[0]
20230724T223944,"(1, 1, 0)",3.11,[],[]
20230724T223947,"(1, 0, 0)",8.17,[570],[0]
20230724T223955,"(0, 1, 0)",1.9,[296],[0]
20230724T223957,"(1, 0, 0)",5.84,[348],[0]
20230724T224003,"(0, 1, 0)",2.06,[1925],[0]
20230724T224005,"(1, 1, 0)",1.82,[880],[0]
20230724T224007,"(1, 0, 0)",7.8,[539],[0]
20230724T224015,"(0, 1, 0)",5.31,[297],[0]
20230724T224020,"(1, 1, 0)",7.67,[495],[0]
20230724T224028,"(0, 0, 1)",9.65,[411],[0]
20230724T224038,"(1, 1, 0)",1.54,[443],[0]
20230724T224039,"(1, 0, 0)",7.53,[369],[0]
20230724T224047,"(1, 1, 0)",8.97,[337],[0]
20230724T224056,"(0, 0, 1)",1.59,[474],[0]
20230724T224057,"(1, 0, 0)",8.96,[2810],[0]
20230724T224106,"(1, 1, 0)",4.85,[278],[0]
20230724T224111,"(0, 0, 1)",7.4,"[312, 2366]","[0, 0]"
20230724T224119,"(0, 1, 0)",1.65,[384],[0]
20230724T224120,"(1, 0, 0)",8.96,[373],[0]
20230724T224129,"(1, 1, 0)",9.12,[373],[0]
20230724T224138,"(0, 0, 1)",4.54,[460],[0]
20230724T224143,"(1, 1, 0)",1.22,[502],[0]
20230724T224144,"(1, 0, 0)",6.63,[399],[0]
20230724T224151,"(0, 0, 1)",4.6,[1414],[0]
20230724T224155,"(0, 1, 0)",2.68,[398],[0]
20230724T224158,"(1, 0, 0)",4.92,[669],[0]
20230724T224203,"(0, 0, 1)",7.15,[698],[0]
20230724T224210,"(1, 0, 0)",6.52,[561],[0]
20230724T224217,"(1, 1, 0)",6.77,[348],[0]
20230724T224224,"(1, 0, 0)",4.7,[367],[0]
20230724T224228,"(0, 1, 0)",8.58,[589],[0]
20230724T224237,"(1, 0, 0)",7.5,[296],[0]
20230724T224244,"(1, 1, 0)",7.3,[406],[0]
20230724T224252,"(1, 0, 0)",5.55,[417],[0]
20230724T224257,"(1, 1, 0)",2.61,[349],[0]
20230724T224300,"(0, 0, 1)",7.97,[373],[0]
20230724T224308,"(0, 1, 0)",7.47,[389],[0]
20230724T224315,"(0, 0, 1)",6.21,[457],[0]
20230724T224322,"(1, 0, 0)",9.03,[522],[0]
20230724T224331,"(1, 1, 0)",8.58,[502],[0]
20230724T224339,"(0, 0, 1)",1.87,[411],[0]
20230724T224341,"(1, 1, 0)",7.13,[417],[0]
20230724T224348,"(0, 0, 1)",2.86,[481],[0]
20230724T224351,"(1, 1, 0)",2.15,[331],[0]
20230724T224353,"(1, 0, 0)",9.89,[419],[0]
20230724T224403,"(0, 1, 0)",1.07,[],[]
20230724T224404,"(0, 0, 1)",8.99,[1429],[0]
20230724T224413,"(1, 1, 0)",2.71,[324],[0]
20230724T224416,"(0, 0, 1)",9.22,[529],[0]
20230724T224425,"(1, 0, 0)",4.8,[471],[0]
20230724T224430,"(0, 0, 1)",5.6,[674],[0]
20230724T224436,"(0, 1, 0)",9.21,[404],[0]
20230724T224445,"(1, 1, 0)",3.41,[340],[0]
20230724T224448,"(0, 1, 0)",9.73,"[352, 7860]","[0, 0]"
20230724T224458,"(1, 0, 0)",2.66,[426],[0]
20230724T224501,"(0, 0, 1)",6.09,[3397],[0]
20230724T224507,"(1, 1, 0)",2.36,[609],[0]
20230724T224509,"(0, 0, 1)",2.79,[],[]
20230724T224512,"(1, 0, 0)",3.81,[3536],[0]
20230724T224516,"(0, 0, 1)",2.06,[468],[0]
20230724T224518,"(1, 1, 0)",1.85,[1045],[0]
20230724T224520,"(1, 0, 0)",4.78,[357],[0]
20230724T224525,"(0, 1, 0)",2.76,[],[]
20230724T224527,"(1, 1, 0)",7.71,[819],[0]
20230724T224535,"(0, 1, 0)",4.14,[346],[0]
20230724T224539,"(0, 0, 1)",2.57,[],[]
20230724T224542,"(0, 1, 0)",8.36,[2280],[0]
20230724T224550,"(0, 0, 1)",6.97,[368],[0]
20230724T224557,"(1, 1, 0)",6.29,[3170],[0]
20230724T224604,"(0, 0, 1)",4.82,[1369],[0]
20230724T224608,"(0, 1, 0)",8.94,[6873],[0]
20230724T224617,"(0, 0, 1)",2.07,[557],[0]
20230724T224620,"(1, 0, 0)",8.87,[333],[0]
20230724T224628,"(0, 1, 0)",8.58,[710],[0]
20230724T224637,"(0, 0, 1)",8.79,[446],[0]
20230724T224646,"(1, 0, 0)",6.15,[275],[0]
20230724T224652,"(0, 1, 0)",4.77,[404],[0]
20230724T224657,"(1, 1, 0)",4.12,[391],[0]
20230724T224701,"(0, 0, 1)",5.28,[441],[0]
20230724T224706,"(1, 0, 0)",6.87,[305],[0]
20230724T224713,"(0, 0, 1)",4.64,[553],[0]
20230724T224718,"(1, 0, 0)",1.61,[394],[0]
20230724T224719,"(0, 0, 1)",2.14,[366],[0]
20230724T224722,"(0, 1, 0)",5.93,[300],[0]
20230724T224728,"(1, 1, 0)",5.6,[1102],[0]
20230724T224733,"(0, 1, 0)",3.04,[329],[0]
20230724T224736,"(1, 1, 0)",1.87,[366],[0]
20230724T224738,"(0, 0, 1)",4.45,[360],[0]
20230724T224743,"(0, 1, 0)",3.2,[373],[0]
20230724T224746,"(1, 0, 0)",1.47,[370],[0]
20230724T224747,"(0, 1, 0)",3.12,[432],[0]
20230724T224750,"(1, 0, 0)",2.61,[357],[0]
20230724T224753,"(1, 1, 0)",4.38,[],[]
20230724T224757,"(0, 1, 0)",1.1,[113],[0]
20230724T224759,"(0, 0, 1)",8.48,"[339, 7610]","[0, 0]"
20230724T224807,"(0, 1, 0)",7.42,[309],[0]
20230724T224815,"(0, 0, 1)",8.4,[400],[0]
20230724T224823,"(1, 1, 0)",9.67,[494],[0]
20230724T224833,"(0, 1, 0)",9.79,[383],[0]
20230724T224842,"(0, 0, 1)",3.28,[343],[0]
20230724T224846,"(0, 1, 0)",1.41,[452],[0]
20230724T224847,"(1, 1, 0)",2.35,[403],[0]
20230724T224850,"(0, 1, 0)",6.52,[391],[0]
20230724T224856,"(0, 0, 1)",6.8,[434],[0]
20230724T224903,"(1, 1, 0)",2.11,[385],[0]
20230724T224905,"(1, 0, 0)",3.35,[360],[0]
20230724T224908,"(1, 1, 0)",7.54,[426],[0]
20230724T224916,"(1, 0, 0)",7.88,[430],[0]
20230724T224924,"(0, 1, 0)",7.0,[],[]
20230724T224931,"(1, 1, 0)",3.48,[407],[0]
20230724T224934,"(1, 0, 0)",3.28,[578],[0]
20230724T224938,"(0, 0, 1)",5.38,[],[]
20230724T224943,"(1, 0, 0)",2.54,[329],[0]
20230724T224946,"(1, 1, 0)",5.88,[604],[0]
20230724T224952,"(0, 1, 0)",7.75,[6043],[0]
20230724T224959,"(1, 1, 0)",1.69,[342],[0]
20230724T225001,"(0, 0, 1)",7.58,[321],[0]
20230724T225009,"(0, 1, 0)",7.28,[361],[0]
20230724T225016,"(1, 1, 0)",6.73,[3595],[0]
20230724T225023,"(1, 0, 0)",1.59,[838],[0]
20230724T225024,"(0, 0, 1)",4.54,"[424, 1814]","[0, 0]"
20230724T225029,"(0, 1, 0)",7.44,"[489, 6249]","[0, 0]"
20230724T225036,"(1, 1, 0)",9.3,[7898],[0]
20230724T225046,"(1, 0, 0)",1.96,[],[]
20230724T225048,"(0, 1, 0)",2.07,[],[]
20230724T225050,"(1, 0, 0)",1.99,[],[]
20230724T225052,"(0, 1, 0)",2.77,"[125, 597]","[0, 0]"
20230724T225054,"(1, 0, 0)",6.61,[309],[0]
20230724T225101,"(0, 1, 0)",3.7,[384],[0]
20230724T225105,"(0, 0, 1)",9.72,[391],[0]
