Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T215627,5.19,[0],[194]
20230721T215633,4.01,[0],[202]
20230721T215637,7.45,[0],[254]
20230721T215644,8.61,[0],[235]
20230721T215653,5.08,[0],[303]
20230721T215658,1.78,[0],[307]
20230721T215700,3.48,[0],[246]
20230721T215703,8.34,[0],[232]
20230721T215711,4.22,[0],[255]
20230721T215716,2.6,[0],[333]
20230721T215718,3.53,[0],[247]
20230721T215722,1.62,[0],[300]
20230721T215723,1.73,[0],[245]
20230721T215725,3.05,[0],[295]
20230721T215728,7.75,[0],[299]
20230721T215736,1.1,[0],[244]
20230721T215737,2.23,[0],[290]
20230721T215739,5.75,[0],[241]
20230721T215745,4.43,[0],[238]
20230721T215749,6.59,[0],[257]
20230721T215756,7.61,[0],[234]
20230721T215804,4.37,[0],[274]
20230721T215808,2.71,[0],[263]
20230721T215811,4.35,[0],[780]
20230721T215815,3.96,[0],[253]
20230721T215819,1.42,[0],[279]
20230721T215821,4.92,[0],[304]
20230721T215825,8.7,[0],[241]
20230721T215834,5.02,[0],[273]
20230721T215839,7.86,[0],[270]
20230721T215847,8.29,[0],[325]
20230721T215855,8.12,[0],[430]
20230721T215904,5.29,[0],[248]
20230721T215909,7.29,[0],[258]
20230721T215916,6.8,[0],[227]
20230721T215923,5.57,[0],[316]
