Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T225336,8.31,[3],[258]
20230721T225345,1.14,[3],[303]
20230721T225346,4.0,[3],[293]
20230721T225350,4.19,[3],[206]
20230721T225354,2.62,[3],[214]
20230721T225357,7.71,[3],[262]
20230721T225404,7.41,[3],[236]
20230721T225412,5.2,[3],[252]
20230721T225417,1.22,[3],[367]
20230721T225418,2.74,[3],[358]
20230721T225421,1.95,[3],[261]
20230721T225423,8.82,[3],[250]
20230721T225432,7.87,[3],[303]
20230721T225440,4.25,[3],[312]
20230721T225444,1.08,[3],[373]
20230721T225445,5.78,[3],[296]
20230721T225451,8.03,[3],[219]
20230721T225459,1.79,[3],[295]
20230721T225501,7.52,[3],[292]
20230721T225508,8.97,[3],[363]
20230721T225517,2.6,[3],[310]
20230721T225520,5.38,[3],[396]
20230721T225525,6.12,[3],[373]
20230721T225531,8.96,[3],[226]
20230721T225540,5.01,[3],[269]
20230721T225545,2.73,[3],[250]
20230721T225548,1.02,[3],[282]
20230721T225549,5.5,[3],[241]
20230721T225554,5.54,[3],[260]
20230721T225600,8.17,[3],[281]
20230721T225608,2.82,[3],[332]
20230721T225611,1.55,[3],[256]
20230721T225613,5.13,[3],[233]
20230721T225618,4.2,[3],[312]
20230721T225622,7.4,[3],[398]
20230721T225629,2.09,[3],[310]
20230721T225631,6.95,[3],[253]
