Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T202926,4.0,[3],[210]
20230721T202930,3.74,[3],[376]
20230721T202933,7.22,[3],[294]
20230721T202940,1.34,[3],[196]
20230721T202942,2.79,[3],[273]
20230721T202945,5.94,[3],[207]
20230721T202951,5.43,[3],[258]
20230721T202956,3.58,[3],[285]
20230721T203000,2.57,[3],[303]
20230721T203002,4.68,[3],[318]
20230721T203007,1.88,[3],[243]
20230721T203009,4.84,[3],[303]
20230721T203014,7.39,[3],[246]
20230721T203021,4.87,[3],[255]
20230721T203026,4.33,[3],[218]
20230721T203030,8.34,[3],[284]
20230721T203039,6.46,[3],[373]
20230721T203045,1.05,[3],[199]
20230721T203046,2.51,[3],[255]
20230721T203049,4.86,[3],[325]
20230721T203053,5.79,[3],[239]
20230721T203059,4.0,[3],[217]
20230721T203103,2.84,[3],[249]
20230721T203106,7.42,[3],[219]
20230721T203114,3.23,[3],[292]
20230721T203117,2.61,[3],[246]
20230721T203119,4.28,[3],[285]
20230721T203124,8.09,[3],[238]
20230721T203132,1.8,[3],[235]
20230721T203134,3.42,[3],[279]
20230721T203137,1.82,[3],[285]
20230721T203139,7.49,[3],[255]
20230721T203146,7.29,[3],[212]
20230721T203154,7.11,[3],[387]
20230721T203201,4.93,[3],[286]
20230721T203206,2.45,[3],[241]
20230721T203208,8.2,[3],[289]
20230721T203216,4.63,[3],[381]
20230721T203221,1.6,[3],[291]
20230721T203223,8.22,[3],[283]
