Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T212755,1.15,[3],[193]
20230721T212757,7.56,[3],[357]
20230721T212804,3.93,[3],[250]
20230721T212808,6.53,[3],[247]
20230721T212815,6.91,[3],[203]
20230721T212822,1.77,[3],[237]
20230721T212823,1.7,[3],[246]
20230721T212825,5.75,[3],[275]
20230721T212831,7.88,"[3, 3]","[208, 4121]"
20230721T212839,3.22,[3],[237]
20230721T212842,5.88,[3],[262]
20230721T212848,5.51,[3],[220]
20230721T212853,3.56,[3],[249]
20230721T212857,5.84,[3],[230]
20230721T212903,1.71,[3],[249]
20230721T212904,8.43,[3],[283]
20230721T212913,7.02,[3],[197]
20230721T212920,1.77,[3],[194]
20230721T212922,4.18,[3],[294]
20230721T212926,4.63,[3],[215]
20230721T212931,6.95,[3],[253]
20230721T212938,3.01,[3],[253]
20230721T212941,6.53,[3],[219]
20230721T212947,8.76,"[3, 3]","[232, 6770]"
20230721T212956,4.23,[3],[215]
20230721T213000,5.93,[3],[316]
20230721T213006,6.11,[3],[220]
20230721T213012,2.29,[3],[217]
20230721T213014,8.65,[3],[246]
20230721T213023,4.69,[3],[224]
20230721T213028,6.56,[3],[256]
20230721T213034,2.94,[3],[229]
20230721T213037,8.3,[3],[273]
20230721T213046,2.65,[3],[255]
20230721T213048,4.98,[3],[277]
20230721T213053,8.97,[3],[283]
