Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T235232,2.64,[3],[256]
20230724T235234,2.71,[3],[217]
20230724T235237,4.69,[3],[195]
20230724T235242,1.84,[3],[200]
20230724T235244,6.6,[3],[227]
20230724T235250,5.4,[3],[267]
20230724T235256,7.63,[3],[229]
20230724T235303,6.66,[3],[221]
20230724T235310,3.91,[3],[306]
20230724T235314,2.13,[3],[276]
20230724T235316,1.84,[3],[295]
20230724T235318,4.28,[3],[230]
20230724T235322,4.5,[3],[279]
20230724T235327,3.63,[3],[208]
20230724T235330,3.66,[3],[253]
20230724T235334,5.55,[3],[272]
20230724T235340,5.82,[3],[243]
20230724T235345,3.9,[3],[263]
20230724T235349,2.81,[3],[233]
20230724T235352,2.19,[3],[214]
20230724T235354,6.77,[3],[261]
20230724T235401,4.36,[3],[177]
20230724T235405,6.05,[3],[388]
20230724T235412,7.59,[3],[239]
20230724T235419,2.52,[3],[465]
20230724T235422,6.79,[3],[318]
20230724T235428,1.61,[3],[257]
20230724T235430,4.31,[3],[287]
20230724T235434,7.24,[3],[290]
20230724T235442,6.58,[3],[334]
20230724T235448,2.2,[3],[206]
20230724T235450,7.07,"[3, 3]","[273, 4616]"
20230724T235458,4.58,[3],[241]
20230724T235502,6.22,[3],[252]
20230724T235508,1.48,[3],[231]
20230724T235510,8.5,[3],[293]
20230724T235518,6.18,[3],[295]
20230724T235525,2.31,[3],[283]
20230724T235527,1.89,[3],[244]
20230724T235529,2.9,[3],[245]
