Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T222947,8.62,[3],[284]
20230724T222956,6.56,[3],[231]
20230724T223002,3.04,[3],[258]
20230724T223005,3.15,[3],[252]
20230724T223008,8.38,[3],[299]
20230724T223017,5.92,[3],[228]
20230724T223023,1.18,[3],[329]
20230724T223024,7.56,[3],[355]
20230724T223031,2.12,[3],[292]
20230724T223033,1.94,[3],[349]
20230724T223035,1.59,[3],[324]
20230724T223037,1.31,[3],[297]
20230724T223038,6.39,[3],[263]
20230724T223045,8.15,[3],[231]
20230724T223053,6.29,[3],[371]
20230724T223059,2.36,[3],[259]
20230724T223102,1.63,[3],[302]
20230724T223103,1.99,[3],[280]
20230724T223105,2.83,[3],[212]
20230724T223108,8.57,[3],[205]
20230724T223117,5.0,[3],[277]
20230724T223122,6.1,[3],[269]
20230724T223128,5.58,[3],[249]
20230724T223133,7.6,[3],[309]
20230724T223141,6.05,[3],[282]
20230724T223147,3.48,[3],[304]
20230724T223150,1.34,[3],[379]
20230724T223152,3.2,[3],[256]
20230724T223155,4.06,[3],[235]
20230724T223159,5.89,[3],[267]
20230724T223205,2.34,[3],[189]
20230724T223207,5.11,[3],[253]
20230724T223212,3.95,[3],[236]
20230724T223216,4.76,[3],[225]
20230724T223221,3.59,[3],[309]
20230724T223225,5.93,[3],[245]
20230724T223231,6.77,[3],[251]
20230724T223238,6.83,[3],[339]
20230724T223244,5.22,[3],[270]
