Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T205600,5.96,[3],[916]
20230724T205606,2.24,[3],[299]
20230724T205608,2.54,[3],[287]
20230724T205611,4.39,[3],[393]
20230724T205615,4.13,[3],[191]
20230724T205619,8.94,[3],[183]
20230724T205628,1.79,[3],[242]
20230724T205630,7.69,[3],[304]
20230724T205638,3.39,[3],[255]
20230724T205641,6.44,[3],[244]
20230724T205648,3.8,[3],[176]
20230724T205651,7.63,[3],[222]
20230724T205659,7.89,[3],[210]
20230724T205707,4.47,[3],[268]
20230724T205711,8.69,[3],[256]
20230724T205720,3.43,[3],[242]
20230724T205724,1.89,[3],[255]
20230724T205725,7.34,[3],[229]
20230724T205733,3.67,[3],[225]
20230724T205736,7.4,[3],[237]
20230724T205744,4.43,[3],[252]
20230724T205748,6.24,[3],[276]
20230724T205755,8.29,[3],[263]
20230724T205803,3.75,[3],[303]
20230724T205807,3.72,[3],[331]
20230724T205810,1.14,[3],[221]
20230724T205811,2.13,[3],[240]
20230724T205814,1.64,[3],[275]
20230724T205815,1.09,[3],[405]
20230724T205816,3.23,[3],[246]
20230724T205820,7.22,[3],[210]
20230724T205827,6.78,[3],[199]
20230724T205834,5.57,[3],[266]
20230724T205839,8.48,[3],[244]
20230724T205848,1.01,[3],[267]
20230724T205849,8.54,[3],[321]
20230724T205857,3.89,[3],[246]
