Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T225532,4.6,[3],[463]
20230724T225536,6.66,[3],[237]
20230724T225543,1.81,[3],[224]
20230724T225545,2.71,[3],[281]
20230724T225548,3.34,[3],[223]
20230724T225551,6.16,[3],[227]
20230724T225557,6.95,[3],[218]
20230724T225604,7.59,[3],[219]
20230724T225612,5.37,[3],[311]
20230724T225617,4.5,[3],[379]
20230724T225621,2.92,[3],[261]
20230724T225624,7.12,[3],[274]
20230724T225632,3.63,[3],[289]
20230724T225635,8.13,[3],[350]
20230724T225643,1.8,[],[]
20230724T225645,2.19,[3],[183]
20230724T225647,2.57,[3],[203]
20230724T225650,4.95,[3],[220]
20230724T225655,2.24,[3],[249]
20230724T225657,1.01,[3],[490]
20230724T225658,5.85,[3],[331]
20230724T225704,6.0,[3],[313]
20230724T225710,8.98,[3],[212]
20230724T225719,3.46,[3],[284]
20230724T225722,8.01,[3],[254]
20230724T225730,1.91,[3],[239]
20230724T225732,2.3,[3],[232]
20230724T225735,5.94,[3],[282]
20230724T225741,8.73,[3],[247]
20230724T225749,8.74,[3],[276]
20230724T225758,1.35,[3],[289]
20230724T225800,1.16,[3],[319]
20230724T225801,2.78,[3],[313]
20230724T225803,5.8,[3],[211]
20230724T225809,2.93,[3],[255]
20230724T225812,2.29,[3],[323]
20230724T225815,5.56,[3],[260]
20230724T225820,7.28,[3],[279]
20230724T225827,2.85,[3],[226]
20230724T225830,1.25,[3],[289]
