Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230730T002325,5.3,[0],[522]
20230730T002331,5.73,[0],[319]
20230730T002336,5.57,[0],[234]
20230730T002342,1.3,[0],[251]
20230730T002343,5.22,[0],[350]
20230730T002349,1.62,[0],[239]
20230730T002350,4.95,[0],[300]
20230730T002355,8.91,[0],[263]
20230730T002404,6.21,[0],[324]
20230730T002410,6.93,[0],[255]
20230730T002417,2.02,[0],[401]
20230730T002419,5.99,[0],[288]
20230730T002425,8.96,[0],[287]
20230730T002434,3.22,[0],[265]
20230730T002437,4.3,[0],[236]
20230730T002442,3.61,[0],[264]
20230730T002445,7.37,[0],[268]
20230730T002453,5.09,[0],[248]
20230730T002458,2.87,[0],[259]
20230730T002501,1.97,[0],[316]
20230730T002503,3.34,[0],[253]
20230730T002506,1.55,[0],[283]
20230730T002508,6.79,[0],[329]
20230730T002514,3.11,[0],[335]
20230730T002517,8.25,[0],[401]
20230730T002526,2.83,[0],[344]
20230730T002529,5.57,[0],[332]
20230730T002534,5.78,[0],[401]
20230730T002540,5.88,[0],[310]
20230730T002546,3.89,[0],[380]
20230730T002550,4.69,[0],[409]
20230730T002554,4.99,[0],[270]
20230730T002559,5.19,[0],[308]
20230730T002605,1.72,[0],[265]
20230730T002606,2.67,[0],[370]
20230730T002609,2.5,[0],[353]
20230730T002612,5.73,[0],[303]
20230730T002617,7.62,[0],[251]
