Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T202240,7.41,[0],[227]
20230729T202247,8.81,[0],[221]
20230729T202256,4.28,[0],[285]
20230729T202300,3.35,[0],[267]
20230729T202303,5.78,[0],[244]
20230729T202309,1.52,[0],[273]
20230729T202311,8.78,[0],[287]
20230729T202320,1.57,[0],[275]
20230729T202321,2.44,[0],[325]
20230729T202324,5.39,[0],[350]
20230729T202329,8.45,[0],[271]
20230729T202337,6.35,[0],[280]
20230729T202344,3.4,[0],[301]
20230729T202347,5.78,[0],[267]
20230729T202353,6.68,[0],[300]
20230729T202400,6.84,[0],[323]
20230729T202407,4.78,[0],[336]
20230729T202411,8.32,[0],[317]
20230729T202420,5.45,[0],[400]
20230729T202425,3.06,[0],[299]
20230729T202428,5.59,[0],[303]
20230729T202434,2.32,[0],[206]
20230729T202436,1.59,[0],[279]
20230729T202438,4.07,[0],[238]
20230729T202442,6.89,[0],[251]
20230729T202449,5.54,[0],[274]
20230729T202454,5.4,[0],[277]
20230729T202500,8.09,[0],[364]
20230729T202508,8.53,[0],[276]
20230729T202516,2.06,[0],[293]
20230729T202518,4.12,[0],[317]
20230729T202523,8.85,[0],[331]
20230729T202531,4.51,[0],[285]
20230729T202536,6.44,[0],[260]
