Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T235410,8.82,[0],[533]
20230729T235419,2.14,[0],[346]
20230729T235421,8.27,[0],[337]
20230729T235429,1.65,[],[]
20230729T235431,7.72,"[0, 0]","[225, 726]"
20230729T235439,7.94,[0],[273]
20230729T235446,8.33,[0],[403]
20230729T235455,6.95,[0],[284]
20230729T235502,2.58,[0],[270]
20230729T235504,6.71,[0],[297]
20230729T235511,2.93,[0],[392]
20230729T235514,5.16,[0],[470]
20230729T235519,7.14,[0],[304]
20230729T235526,5.16,[0],[336]
20230729T235532,6.61,[0],[377]
20230729T235538,8.67,[0],[436]
20230729T235547,3.07,[0],[388]
20230729T235550,2.92,[0],[427]
20230729T235553,4.9,[0],[398]
20230729T235558,8.2,[0],[343]
20230729T235606,6.46,[0],[321]
20230729T235612,4.81,[0],[390]
20230729T235617,1.05,[0],[392]
20230729T235618,2.43,[0],[411]
20230729T235621,5.03,[0],[370]
20230729T235626,7.32,[0],[409]
20230729T235633,7.29,[0],[304]
20230729T235640,5.92,[0],[433]
20230729T235646,2.18,[0],[384]
20230729T235649,5.71,[0],[747]
20230729T235654,1.93,[0],[352]
20230729T235656,5.85,[0],[373]
20230729T235702,6.04,[0],[207]
20230729T235708,3.22,[0],[381]
