Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T205243,8.6,[0],[209]
20230729T205251,6.13,[0],[262]
20230729T205257,5.58,[0],[355]
20230729T205303,1.54,[0],[307]
20230729T205304,7.99,[0],[288]
20230729T205312,7.2,[0],[299]
20230729T205320,5.91,[0],[291]
20230729T205326,7.37,[0],[181]
20230729T205333,7.36,[0],[272]
20230729T205340,1.04,[0],[231]
20230729T205341,3.0,[0],[475]
20230729T205344,6.09,[0],[254]
20230729T205350,2.06,[0],[258]
20230729T205353,6.35,[0],[270]
20230729T205359,7.84,[0],[238]
20230729T205407,3.91,[0],[233]
20230729T205411,8.11,[0],[227]
20230729T205419,6.19,[0],[288]
20230729T205425,8.2,[0],[266]
20230729T205433,3.23,[0],[246]
20230729T205436,1.17,[0],[294]
20230729T205438,1.83,[0],[301]
20230729T205439,3.74,[0],[304]
20230729T205443,1.34,[0],[324]
20230729T205445,8.77,[0],[310]
20230729T205453,7.91,[0],[239]
20230729T205501,6.9,[0],[256]
20230729T205508,4.2,[0],[380]
20230729T205512,7.36,[0],[245]
20230729T205520,8.81,[0],[267]
20230729T205529,3.63,[0],[235]
20230729T205532,2.23,[0],[274]
20230729T205534,4.86,[0],[257]
20230729T205539,3.68,[0],[222]
