Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T215330,3.06,[0],[284]
20230729T215333,8.5,[0],[265]
20230729T215341,7.96,[0],[287]
20230729T215349,4.91,[0],[199]
20230729T215354,2.99,[0],[323]
20230729T215357,3.06,[0],[335]
20230729T215400,2.33,[0],[318]
20230729T215403,5.53,[0],[412]
20230729T215408,2.0,[0],[257]
20230729T215410,6.49,[0],[242]
20230729T215417,3.63,[0],[245]
20230729T215420,6.83,[0],[261]
20230729T215427,3.72,[0],[233]
20230729T215431,5.8,[0],[249]
20230729T215437,1.37,[0],[289]
20230729T215438,1.89,[0],[324]
20230729T215440,2.67,[0],[246]
20230729T215443,3.33,[0],[266]
20230729T215446,8.33,[0],[305]
20230729T215454,4.06,[0],[414]
20230729T215458,2.51,[0],[350]
20230729T215501,7.11,[0],[321]
20230729T215508,7.31,[0],[335]
20230729T215515,8.42,[0],[278]
20230729T215524,4.32,[0],[267]
20230729T215528,7.74,[0],[296]
20230729T215536,4.9,[0],[215]
20230729T215541,4.79,[0],[251]
20230729T215546,2.82,[0],[312]
20230729T215548,6.9,[0],[309]
20230729T215555,1.91,[0],[467]
20230729T215557,3.23,[0],[425]
20230729T215600,3.81,[0],[289]
20230729T215604,6.59,[0],[273]
20230729T215611,2.35,[0],[287]
20230729T215613,7.09,[0],[307]
20230729T215620,8.96,[0],[248]
