Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230209T223311,5.612603525812544,[3],[357]
20230209T223317,6.056217678485149,[3],[345]
20230209T223323,5.895122108230871,[3],[318]
20230209T223329,7.393899530050091,[3],[378]
20230209T223336,4.907913333936362,[3],[310]
20230209T223341,7.910175057089744,[3],[334]
20230209T223349,7.324684171994723,[3],[343]
20230209T223356,4.009335134801454,[3],[336]
20230209T223400,8.412139505651986,[3],[366]
20230209T223409,2.2015869083312003,[3],[370]
20230209T223411,2.4047317814416127,[3],[367]
20230209T223413,7.318152896245607,[3],[351]
20230209T223421,7.950049201053811,[3],[337]
20230209T223429,2.961058310435786,[3],[318]
20230209T223432,6.057842504671279,[3],[344]
20230209T223438,1.4180684492019733,[3],[318]
20230209T223439,3.739909059653267,[3],[343]
20230209T223443,3.729488607375333,[3],[349]
20230209T223447,4.236051836499176,[3],[387]
20230209T223451,1.0297545410017444,[3],[284]
20230209T223452,5.699992484109582,[3],[333]
20230209T223458,5.234360566895436,[3],[342]
20230209T223503,1.0754725984595632,[3],[336]
20230209T223504,2.304762350021803,[3],[420]
20230209T223506,5.8357240948413445,[3],[410]
20230209T223512,2.8352126540639437,[3],[342]
20230209T223515,3.8855660178999436,[3],[336]
20230209T223519,8.998624856680554,[3],[328]
20230209T223528,5.979017218844107,[3],[357]
20230209T223534,8.544261665490748,[3],[323]
20230209T223542,1.0795034167028206,[3],[359]
20230209T223543,7.911130139173773,[3],[384]
20230209T223551,6.458202292093391,[3],[402]
20230209T223558,7.882471886990223,[3],[323]
20230209T223606,4.954173595420263,[3],[331]
