Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230209T213302,5.945003849128725,[3],[340]
20230209T213308,6.527873465587737,[3],[310]
20230209T213315,2.749157073421703,[3],[318]
20230209T213317,1.9105101270758746,[3],[353]
20230209T213319,2.755554402604636,[3],[304]
20230209T213322,7.081387869792269,[3],[321]
20230209T213329,3.1926597737544533,[3],[357]
20230209T213332,7.637784490194242,[3],[305]
20230209T213340,4.538586678821709,[3],[288]
20230209T213345,4.542754833884373,[3],[322]
20230209T213349,1.8615704952515522,[3],[322]
20230209T213351,6.1618402017494525,[],[]
20230209T213357,3.638891260177897,[3],[308]
20230209T213401,5.976089828234137,[3],[281]
20230209T213407,3.936339676039225,[3],[325]
20230209T213411,7.52275261054849,[3],[329]
20230209T213418,4.091255803085094,[3],[326]
20230209T213422,6.784085717352756,[3],[328]
20230209T213429,8.743116027538083,[3],[352]
20230209T213438,4.145829802353732,[3],[318]
20230209T213442,4.487094107272375,[],[]
20230209T213447,8.843142333947203,[3],[278]
20230209T213456,1.0576247001013455,[3],[334]
20230209T213457,2.7215704729650296,[3],[317]
20230209T213459,5.845248911967199,[3],[324]
20230209T213505,6.44611337254881,[3],[335]
20230209T213512,6.947090781045552,[3],[271]
20230209T213519,7.038794156750896,[3],[336]
20230209T213526,2.2807046849341077,[3],[313]
20230209T213528,3.7615181096876196,[3],[392]
20230209T213532,1.2023052094281708,[3],[319]
20230209T213533,4.368366153192501,[3],[312]
20230209T213537,8.858556788925902,[3],[334]
20230209T213546,6.8416669832194374,[3],[348]
20230209T213553,2.147919745804564,[3],[314]
20230209T213555,1.27731638077449,[3],[318]
20230209T213556,7.862068656950094,[3],[301]
