Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230210T010355,4.691044989776213,[3],[340]
20230210T010400,6.024373002376713,[3],[330]
20230210T010406,4.1321449203141585,[3],[311]
20230210T010410,8.667118155265918,[3],[353]
20230210T010419,7.209215613927344,[3],[345]
20230210T010426,3.8803052837604577,[3],[361]
20230210T010430,4.201474813876946,[3],[376]
20230210T010434,3.3017696550998465,[3],[342]
20230210T010438,4.7382239260628145,[3],[373]
20230210T010442,8.263663801802045,[3],[333]
20230210T010451,2.2295084174307425,[3],[333]
20230210T010453,8.529132776692876,[3],[335]
20230210T010501,1.376258682044492,[3],[334]
20230210T010503,1.0365513740403838,[3],[390]
20230210T010504,2.848190686580108,[3],[467]
20230210T010507,2.0410211825213764,[3],[336]
20230210T010509,8.588793482952536,[3],[376]
20230210T010517,8.294191816568265,[3],[408]
20230210T010526,4.175509839890494,[3],[315]
20230210T010530,1.6824920114248432,[3],[317]
20230210T010532,8.184551734700662,[3],[348]
20230210T010540,3.7954153288828225,[3],[364]
20230210T010544,7.5446825654664345,[3],[387]
20230210T010551,6.846918493650804,[3],[349]
20230210T010558,6.315302657195443,[3],[351]
20230210T010604,8.20839683810634,[3],[364]
20230210T010613,8.507085408850411,[3],[443]
20230210T010621,2.574751517048779,[3],[337]
20230210T010624,8.126107704862326,[3],[368]
20230210T010632,1.90626617521513,[3],[318]
20230210T010634,4.723786588193192,[3],[368]
20230210T010638,8.360054687031953,[3],[377]
20230210T010647,2.3848887579012485,[3],[435]
20230210T010649,3.7836128921101606,[3],[350]
20230210T010653,2.744855654431352,[3],[324]
