Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230717T214431,"(0, 1, 0)",6.17,[365],[2]
20230717T214437,"(1, 0, 0)",2.79,[234],[2]
20230717T214440,"(0, 1, 0)",5.23,[296],[2]
20230717T214445,"(1, 0, 0)",4.07,[283],[2]
20230717T214449,"(1, 1, 0)",1.68,[259],[2]
20230717T214451,"(1, 0, 0)",2.42,[299],[2]
20230717T214453,"(0, 1, 0)",8.24,[235],[2]
20230717T214502,"(1, 1, 0)",4.5,[271],[2]
20230717T214506,"(0, 1, 0)",6.94,"[257, 5805]","[2, 2]"
20230717T214513,"(0, 0, 1)",5.69,[293],[2]
20230717T214519,"(0, 1, 0)",9.35,[280],[2]
20230717T214528,"(1, 0, 0)",2.71,[294],[2]
20230717T214531,"(0, 1, 0)",1.78,[272],[2]
20230717T214533,"(0, 0, 1)",8.31,[283],[2]
20230717T214541,"(1, 0, 0)",7.55,[226],[2]
20230717T214549,"(0, 0, 1)",4.17,[238],[2]
20230717T214553,"(1, 1, 0)",6.69,[267],[2]
20230717T214559,"(1, 0, 0)",1.12,[249],[2]
20230717T214601,"(1, 1, 0)",7.29,[1456],[2]
20230717T214608,"(0, 0, 1)",8.32,[259],[2]
20230717T214616,"(1, 0, 0)",5.99,[294],[2]
20230717T214622,"(0, 1, 0)",1.92,[297],[2]
20230717T214624,"(1, 1, 0)",3.15,[433],[2]
20230717T214627,"(0, 1, 0)",3.78,[253],[2]
20230717T214631,"(0, 0, 1)",3.82,[251],[2]
20230717T214635,"(0, 1, 0)",9.95,[226],[2]
20230717T214645,"(1, 0, 0)",8.8,[255],[2]
20230717T214654,"(1, 1, 0)",4.46,[364],[2]
20230717T214658,"(0, 0, 1)",7.94,[269],[2]
20230717T214706,"(1, 1, 0)",1.66,[291],[2]
20230717T214708,"(0, 0, 1)",3.52,[333],[2]
20230717T214711,"(1, 0, 0)",8.73,[284],[2]
20230717T214720,"(0, 0, 1)",3.83,[282],[2]
20230717T214724,"(1, 0, 0)",6.13,[442],[2]
20230717T214730,"(0, 0, 1)",5.46,[353],[2]
20230717T214736,"(1, 1, 0)",9.8,[272],[2]
20230717T214746,"(1, 0, 0)",8.2,[286],[2]
20230717T214754,"(0, 1, 0)",2.58,[341],[2]
20230717T214756,"(1, 1, 0)",8.91,[326],[2]
20230717T214805,"(0, 1, 0)",8.33,[305],[2]
20230717T214814,"(1, 0, 0)",1.48,[323],[2]
20230717T214815,"(0, 0, 1)",2.03,[364],[2]
20230717T214817,"(0, 1, 0)",5.25,[286],[2]
20230717T214822,"(1, 1, 0)",5.33,[266],[2]
20230717T214828,"(0, 0, 1)",2.1,[281],[2]
20230717T214830,"(1, 0, 0)",1.51,[310],[2]
20230717T214831,"(0, 1, 0)",7.0,[272],[2]
20230717T214838,"(1, 0, 0)",5.78,[349],[2]
20230717T214844,"(1, 1, 0)",5.59,[280],[2]
20230717T214850,"(1, 0, 0)",3.31,[259],[2]
20230717T214853,"(1, 1, 0)",6.56,[246],[2]
20230717T214900,"(1, 0, 0)",3.99,[283],[2]
20230717T214904,"(1, 1, 0)",7.14,[326],[2]
20230717T214911,"(0, 1, 0)",8.65,[251],[2]
20230717T214920,"(1, 1, 0)",6.57,[317],[2]
20230717T214926,"(1, 0, 0)",5.72,[286],[2]
20230717T214932,"(0, 0, 1)",3.52,[265],[2]
20230717T214936,"(1, 0, 0)",2.78,[415],[2]
20230717T214938,"(1, 1, 0)",6.08,[383],[2]
20230717T214944,"(1, 0, 0)",4.58,[276],[2]
20230717T214949,"(0, 0, 1)",4.4,[402],[2]
20230717T214953,"(1, 1, 0)",5.37,[315],[2]
20230717T214959,"(0, 1, 0)",5.74,[286],[2]
20230717T215005,"(1, 0, 0)",9.62,[431],[2]
20230717T215014,"(0, 1, 0)",8.79,[305],[2]
