Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T205214,1.23,[3],[289]
20230729T205216,8.5,[3],[255]
20230729T205224,8.83,[3],[255]
20230729T205233,4.69,[3],[214]
20230729T205238,7.72,[3],[257]
20230729T205245,7.16,[3],[176]
20230729T205252,5.36,[3],[269]
20230729T205258,2.53,[3],[300]
20230729T205300,8.38,[3],[238]
20230729T205309,5.74,[3],[246]
20230729T205315,2.78,[3],[243]
20230729T205317,8.48,[3],[233]
20230729T205326,4.48,[3],[266]
20230729T205330,2.96,[3],[225]
20230729T205333,4.45,[3],[268]
20230729T205338,1.04,[3],[187]
20230729T205339,8.31,[3],[241]
20230729T205347,1.62,[3],[238]
20230729T205349,3.61,[3],[230]
20230729T205352,6.89,[3],[291]
20230729T205359,3.7,[3],[203]
20230729T205403,2.7,[3],[231]
20230729T205406,6.85,[3],[261]
20230729T205413,5.36,[3],[233]
20230729T205418,1.03,[3],[242]
20230729T205419,4.97,[3],[319]
20230729T205424,8.62,[3],[297]
20230729T205433,1.33,[3],[299]
20230729T205434,7.2,[3],[298]
20230729T205441,8.83,[3],[283]
20230729T205450,2.33,[3],[234]
20230729T205452,2.54,[3],[283]
20230729T205455,5.76,[3],[206]
20230729T205501,5.5,[3],[249]
20230729T205506,4.79,[3],[219]
20230729T205511,8.01,[3],[226]
