Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T202326,6.93,"[3, 3]","[441, 5733]"
20230729T202333,7.43,[3],[198]
20230729T202341,2.74,[3],[197]
20230729T202343,7.54,[3],[293]
20230729T202351,4.92,[3],[238]
20230729T202356,4.42,[3],[269]
20230729T202400,5.87,[3],[215]
20230729T202406,6.42,[3],[202]
20230729T202413,7.52,[3],[214]
20230729T202420,3.62,[3],[222]
20230729T202424,7.32,[3],[55]
20230729T202431,8.27,[3],[270]
20230729T202439,8.47,[3],[269]
20230729T202448,1.12,[3],[221]
20230729T202449,5.08,[3],[261]
20230729T202454,4.79,[3],[281]
20230729T202459,5.11,[3],[258]
20230729T202504,3.21,[3],[246]
20230729T202507,4.51,[3],[271]
20230729T202512,4.7,[3],[242]
20230729T202516,4.21,[3],[208]
20230729T202521,3.12,[3],[220]
20230729T202524,4.27,[3],[221]
20230729T202528,7.42,[3],[199]
20230729T202536,5.13,[3],[197]
20230729T202541,5.61,[3],[234]
20230729T202546,7.8,[3],[190]
20230729T202554,5.55,[3],[202]
20230729T202600,1.66,[3],[301]
20230729T202601,1.87,[3],[237]
20230729T202603,5.42,"[3, 3]","[221, 1912]"
20230729T202609,6.44,[3],[234]
20230729T202615,1.9,[3],[261]
20230729T202617,3.44,[3],[238]
20230729T202620,7.15,[3],[235]
