Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T195350,3.11,[3],[271]
20230729T195353,4.61,[3],[193]
20230729T195357,1.68,[3],[279]
20230729T195359,1.56,[3],[252]
20230729T195401,1.75,[3],[212]
20230729T195402,8.34,[3],[179]
20230729T195411,3.03,[3],[297]
20230729T195414,1.31,[3],[182]
20230729T195415,6.79,[3],[224]
20230729T195422,4.25,[3],[238]
20230729T195426,3.6,[3],[233]
20230729T195430,3.93,[3],[178]
20230729T195434,7.02,[3],[235]
20230729T195441,1.34,[3],[212]
20230729T195442,5.7,"[3, 3]","[199, 2586]"
20230729T195448,7.09,[3],[178]
20230729T195455,8.22,[3],[292]
20230729T195503,4.91,[3],[250]
20230729T195508,4.28,[3],[212]
20230729T195512,3.92,[3],[273]
20230729T195516,2.97,[3],[228]
20230729T195519,1.97,[3],[244]
20230729T195521,5.22,[3],[191]
20230729T195526,8.52,[3],[212]
20230729T195535,3.61,[3],[239]
20230729T195539,5.44,[3],[204]
20230729T195544,1.91,[3],[232]
20230729T195546,1.57,[3],[229]
20230729T195547,5.25,[3],[248]
20230729T195553,7.83,[3],[233]
20230729T195601,2.36,[3],[262]
20230729T195603,1.74,[3],[265]
20230729T195605,5.97,[3],[224]
20230729T195611,8.08,[3],[210]
20230729T195619,3.44,[3],[218]
20230729T195622,4.32,[3],[255]
20230729T195627,4.95,[3],[267]
20230729T195632,8.93,[3],[251]
20230729T195640,3.49,[3],[224]
20230729T195644,3.89,[3],[253]
20230729T195648,1.44,[3],[259]
