Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230729T212238,2.28,[3],[561]
20230729T212241,7.77,[3],[226]
20230729T212248,2.95,[3],[189]
20230729T212251,6.4,"[3, 3]","[384, 4967]"
20230729T212258,4.33,[3],[189]
20230729T212302,7.86,[3],[253]
20230729T212310,6.17,[3],[204]
20230729T212316,7.64,[3],[232]
20230729T212324,6.91,[3],[212]
20230729T212331,6.94,[3],[209]
20230729T212338,2.51,[3],[184]
20230729T212340,7.06,[3],[264]
20230729T212347,8.85,[3],[232]
20230729T212356,3.39,[3],[252]
20230729T212400,1.44,[3],[279]
20230729T212401,6.52,[3],[234]
20230729T212408,8.27,[3],[223]
20230729T212416,7.27,[3],[345]
20230729T212423,5.74,[3],[419]
20230729T212429,6.98,[3],[256]
20230729T212436,3.75,[3],[200]
20230729T212440,7.6,[3],[313]
20230729T212447,7.26,[3],[195]
20230729T212454,5.38,[3],[179]
20230729T212500,7.85,[3],[280]
20230729T212508,6.25,[3],[214]
20230729T212514,5.04,[3],[245]
20230729T212519,2.29,[3],[265]
20230729T212521,8.96,[3],[281]
20230729T212530,2.2,[3],[293]
20230729T212533,8.34,[3],[284]
