Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230125T000428,3.809991316574444,[3],[489]
20230125T000431,6.184156225879154,[3],[307]
20230125T000438,3.249363108594376,[3],[295]
20230125T000441,4.310092673855053,[3],[286]
20230125T000445,1.2713997097530383,[3],[278]
20230125T000446,4.990091489394288,[3],[330]
20230125T000451,3.871103143693894,[3],[293]
20230125T000455,1.2365791658848622,[3],[300]
20230125T000457,7.944210735647311,[3],[342]
20230125T000504,6.895456743314023,[3],[349]
20230125T000511,4.462257002986167,[3],[366]
20230125T000516,5.741434765271934,[3],[325]
20230125T000522,4.142333804561034,[3],[349]
20230125T000526,3.8938750157210364,[3],[297]
20230125T000530,1.5124024046042805,[3],[350]
20230125T000531,5.384093882123237,[3],[287]
20230125T000537,8.358165492469116,[3],[250]
20230125T000545,7.796832936955455,[3],[302]
20230125T000553,7.418930312962439,[3],[364]
20230125T000600,3.083184523021294,[3],[312]
20230125T000603,7.575549319106741,[3],[300]
20230125T000611,2.4796330811424543,[3],[330]
20230125T000613,5.946141272510711,[3],[309]
20230125T000619,2.1336751015635365,[3],[385]
20230125T000621,2.528563546622922,[3],[484]
20230125T000624,3.070630247976103,[3],[397]
20230125T000627,5.06014038898774,[3],[242]
20230125T000632,6.178922260146332,[3],[340]
20230125T000638,7.706866048565718,[3],[336]
20230125T000646,4.847499138963297,[3],[301]
20230125T000651,6.7253166533916895,[3],[334]
20230125T000658,5.180167444739637,[3],[371]
20230125T000703,4.144510081220921,[3],[266]
20230125T000707,8.84614858360207,[3],[281]
20230125T000716,1.7741435832943733,[3],[271]
20230125T000718,6.458386855915475,[3],[323]
20230125T000724,6.558012107644013,[3],[288]
