Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230124T220344,7.6898694583224705,[3],[288]
20230124T220351,4.797335313991774,[3],[311]
20230124T220356,4.596257503355099,[3],[217]
20230124T220401,4.9258957617383405,[3],[271]
20230124T220406,8.513730531312953,[3],[238]
20230124T220414,6.444557965218944,[3],[280]
20230124T220421,6.17910748100553,[3],[222]
20230124T220427,1.0567184076230065,[3],[253]
20230124T220428,5.470598181605691,[3],[344]
20230124T220434,7.664985853886162,[3],[261]
20230124T220441,3.647046502804036,[3],[278]
20230124T220445,6.991098224269122,[3],[273]
20230124T220452,1.805010677811958,[3],[274]
20230124T220454,7.299395431568826,[3],[276]
20230124T220501,4.834961099150573,[3],[303]
20230124T220506,3.718287606989728,[3],[260]
20230124T220510,4.356472843701574,[3],[267]
20230124T220514,5.142856735225096,[3],[246]
20230124T220519,4.052571211378103,[3],[256]
20230124T220523,8.063770081602474,[3],[198]
20230124T220531,6.964350565587798,[3],[270]
20230124T220538,8.901005262015193,[3],[293]
20230124T220547,2.6545256835898225,[3],[291]
20230124T220550,4.1572984712645376,[3],[286]
20230124T220554,5.402329514382519,[3],[270]
20230124T220559,5.41821131488982,[3],[257]
20230124T220605,6.4087460149364,[3],[259]
20230124T220611,1.4217657545496074,[3],[295]
20230124T220613,2.1687070144927763,[3],[265]
20230124T220615,3.6668623663945885,[3],[242]
20230124T220618,8.460474835058942,[3],[274]
20230124T220627,6.908333372069192,[3],[254]
20230124T220634,3.0466985281935672,[3],[255]
20230124T220637,1.1873432307147747,[3],[279]
20230124T220638,1.816384305831849,[3],[266]
20230124T220640,6.220691038223849,[3],[273]
