Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230125T013518,2.057156592847962,[3],[246]
20230125T013520,2.324414548030952,[3],[266]
20230125T013522,8.519232473716274,[3],[245]
20230125T013531,1.3311568404222598,[3],[223]
20230125T013532,8.393562172025304,[3],[318]
20230125T013540,8.972432529588586,[3],[326]
20230125T013549,6.737163172369515,[3],[262]
20230125T013556,1.489764584561633,[3],[272]
20230125T013558,8.063583373802789,[3],[345]
20230125T013606,4.0477181650060725,[3],[239]
20230125T013610,6.167702388346687,[3],[314]
20230125T013616,1.5243272973887656,[3],[312]
20230125T013617,1.797144140888899,[3],[312]
20230125T013619,8.65950359502879,[3],[304]
20230125T013628,2.5446957888854804,[3],[353]
20230125T013630,8.32243731590999,[3],[320]
20230125T013639,3.9819177406655557,[3],[256]
20230125T013643,2.4981861775397105,[3],[285]
20230125T013645,6.978835672945897,[3],[294]
20230125T013652,4.489082823004765,[3],[425]
20230125T013657,8.789644823028855,[3],[345]
20230125T013706,8.021400172292692,[3],[298]
20230125T013714,2.113924024836469,[3],[318]
20230125T013716,7.473540195024606,[3],[309]
20230125T013723,8.389781535841141,[3],[309]
20230125T013732,5.791803252756081,[3],[354]
20230125T013737,1.4222030769276133,[3],[311]
20230125T013739,2.3635457219217626,[3],[328]
20230125T013741,2.4584472547384264,[3],[282]
20230125T013744,1.8041104199089055,[3],[258]
20230125T013745,2.3433844216635205,[3],[441]
20230125T013748,1.8572638414923368,[3],[381]
20230125T013750,8.155508835110824,[3],[367]
20230125T013758,2.3989471546017462,[3],[344]
20230125T013800,7.31904576757405,[3],[298]
20230125T013808,3.202014465349208,[3],[330]
20230125T013811,5.663064496011534,[3],[265]
20230125T013816,1.6362475407977506,[3],[590]
