Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230124T230352,6.956905723845313,[3],[269]
20230124T230359,1.1936910807290095,[3],[252]
20230124T230400,7.406059375645727,[3],[309]
20230124T230407,1.436232125324655,[3],[302]
20230124T230409,1.401116573669964,[3],[276]
20230124T230410,2.3387348960448042,[3],[250]
20230124T230412,3.674125194478288,[3],[290]
20230124T230416,3.6097504466948527,[3],[279]
20230124T230420,1.5718250538490848,[3],[240]
20230124T230421,4.13970494964189,[3],[312]
20230124T230426,4.715657931266429,[3],[249]
20230124T230430,8.25536344610802,[3],[280]
20230124T230438,8.397656138805807,[],[]
20230124T230447,1.5356364716246587,[3],[302]
20230124T230448,7.811539240908386,[3],[307]
20230124T230456,5.343322987810436,[3],[320]
20230124T230502,3.503317523041334,[3],[273]
20230124T230505,4.355299922196821,[3],[279]
20230124T230509,4.178074875842676,[3],[258]
20230124T230514,1.3844135393300459,[3],[238]
20230124T230515,2.8884867622183794,[3],[221]
20230124T230518,8.335739091436738,[3],[265]
20230124T230526,8.052201626353012,[3],[288]
20230124T230534,2.492729823948996,[3],[288]
20230124T230537,8.696055688376788,[3],[280]
20230124T230546,2.3089677324406566,[3],[372]
20230124T230548,8.646842548116897,[3],[315]
20230124T230557,8.554720861382238,[3],[297]
20230124T230605,6.100879476170662,[3],[298]
20230124T230611,1.3918064891585562,[3],[267]
20230124T230613,1.6361702486569092,[3],[294]
20230124T230614,7.011933881963242,[3],[291]
20230124T230621,8.192681046772808,[3],[295]
20230124T230629,8.068400475871726,[3],[252]
20230124T230638,8.927900998566791,[3],[275]
20230124T230646,7.949001641706321,[3],[253]
