Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230729T230057,"(1, 1, 0)",4.47,[364],[3]
20230729T230101,"(1, 0, 0)",2.84,[248],[3]
20230729T230104,"(0, 1, 0)",8.39,[259],[3]
20230729T230113,"(0, 0, 1)",3.09,[219],[3]
20230729T230116,"(1, 1, 0)",9.14,"[339, 5853]","[3, 3]"
20230729T230125,"(0, 0, 1)",1.03,[330],[3]
20230729T230126,"(0, 1, 0)",7.37,[393],[3]
20230729T230133,"(0, 0, 1)",8.43,[294],[3]
20230729T230142,"(1, 0, 0)",1.64,[240],[3]
20230729T230143,"(0, 0, 1)",7.81,[1028],[3]
20230729T230151,"(0, 1, 0)",2.21,[317],[3]
20230729T230154,"(1, 1, 0)",2.22,[545],[3]
20230729T230156,"(0, 0, 1)",7.03,[322],[3]
20230729T230203,"(0, 1, 0)",1.69,[300],[3]
20230729T230205,"(0, 0, 1)",7.27,[357],[3]
20230729T230212,"(1, 0, 0)",5.92,[254],[3]
20230729T230218,"(1, 1, 0)",1.35,[317],[3]
20230729T230219,"(0, 0, 1)",2.89,[447],[3]
20230729T230222,"(1, 1, 0)",3.03,[331],[3]
20230729T230225,"(0, 0, 1)",3.78,[309],[3]
20230729T230229,"(1, 0, 0)",3.5,[288],[3]
20230729T230232,"(1, 1, 0)",4.74,[360],[3]
20230729T230237,"(0, 0, 1)",4.95,[346],[3]
20230729T230242,"(1, 1, 0)",3.84,[315],[3]
20230729T230246,"(0, 0, 1)",1.11,[355],[3]
20230729T230247,"(1, 0, 0)",4.94,[337],[3]
20230729T230252,"(1, 1, 0)",8.84,[281],[3]
20230729T230301,"(0, 0, 1)",3.53,[296],[3]
20230729T230305,"(1, 0, 0)",7.56,[336],[3]
20230729T230312,"(1, 1, 0)",7.25,[336],[3]
20230729T230319,"(0, 1, 0)",9.27,[289],[3]
20230729T230329,"(1, 0, 0)",9.17,[328],[3]
20230729T230338,"(1, 1, 0)",6.5,[295],[3]
20230729T230344,"(0, 1, 0)",8.01,[280],[3]
20230729T230352,"(1, 1, 0)",2.44,[263],[3]
20230729T230355,"(0, 0, 1)",6.94,[395],[3]
20230729T230402,"(1, 1, 0)",8.75,[324],[3]
20230729T230411,"(0, 1, 0)",9.68,[437],[3]
20230729T230420,"(0, 0, 1)",9.26,[305],[3]
20230729T230430,"(1, 0, 0)",9.92,[282],[3]
20230729T230440,"(1, 1, 0)",2.81,[289],[3]
20230729T230442,"(0, 1, 0)",9.03,[298],[3]
20230729T230451,"(1, 0, 0)",5.68,[340],[3]
20230729T230457,"(0, 0, 1)",4.03,[298],[3]
20230729T230501,"(1, 1, 0)",1.71,[295],[3]
20230729T230503,"(0, 0, 1)",8.18,[339],[3]
20230729T230511,"(1, 1, 0)",9.85,[370],[3]
20230729T230521,"(0, 0, 1)",4.54,[395],[3]
20230729T230526,"(1, 0, 0)",2.68,[342],[3]
20230729T230528,"(1, 1, 0)",5.4,[441],[3]
20230729T230534,"(1, 0, 0)",3.19,[378],[3]
20230729T230537,"(0, 0, 1)",4.38,[393],[3]
20230729T230541,"(0, 1, 0)",8.51,[352],[3]
20230729T230550,"(0, 0, 1)",7.21,[382],[3]
20230729T230557,"(1, 0, 0)",6.1,[385],[3]
20230729T230603,"(0, 0, 1)",4.67,[365],[3]
20230729T230608,"(1, 0, 0)",2.59,[373],[3]
20230729T230610,"(0, 1, 0)",3.81,[447],[3]
20230729T230614,"(0, 0, 1)",9.19,[288],[3]
20230729T230623,"(1, 1, 0)",9.51,[348],[3]
20230729T230633,"(0, 1, 0)",5.82,[346],[3]
20230729T230639,"(1, 0, 0)",3.73,[303],[3]
20230729T230643,"(0, 1, 0)",2.55,[398],[3]
20230729T230645,"(1, 1, 0)",1.87,[326],[3]
20230729T230647,"(0, 0, 1)",8.55,[333],[3]
20230729T230656,"(1, 0, 0)",3.46,[358],[3]
20230729T230659,"(0, 0, 1)",8.2,[363],[3]
20230729T230707,"(1, 0, 0)",9.49,[357],[3]
20230729T230717,"(0, 0, 1)",3.79,[373],[3]
20230729T230721,"(0, 1, 0)",2.15,[419],[3]
20230729T230723,"(1, 1, 0)",5.64,[428],[3]
20230729T230728,"(1, 0, 0)",2.06,[308],[3]
20230729T230731,"(1, 1, 0)",7.68,[349],[3]
20230729T230738,"(0, 0, 1)",5.72,[355],[3]
20230729T230744,"(1, 0, 0)",5.04,[279],[3]
20230729T230749,"(1, 1, 0)",8.27,[438],[3]
20230729T230757,"(0, 1, 0)",3.98,[383],[3]
20230729T230801,"(0, 0, 1)",6.15,[356],[3]
20230729T230808,"(1, 1, 0)",9.48,[298],[3]
20230729T230817,"(0, 0, 1)",2.69,[320],[3]
20230729T230820,"(1, 0, 0)",3.61,[412],[3]
20230729T230823,"(0, 1, 0)",9.61,[656],[3]
20230729T230833,"(0, 0, 1)",4.87,[331],[3]
20230729T230838,"(1, 0, 0)",2.15,[404],[3]
20230729T230840,"(0, 0, 1)",4.39,[427],[3]
20230729T230844,"(1, 1, 0)",3.14,[374],[3]
20230729T230848,"(1, 0, 0)",4.38,[387],[3]
20230729T230852,"(0, 0, 1)",8.59,[341],[3]
20230729T230901,"(1, 1, 0)",7.04,[343],[3]
20230729T230908,"(1, 0, 0)",8.9,[351],[3]
20230729T230917,"(1, 1, 0)",8.55,[396],[3]
20230729T230925,"(1, 0, 0)",7.51,[362],[3]
20230729T230933,"(0, 1, 0)",7.7,[375],[3]
20230729T230940,"(1, 0, 0)",1.29,[331],[3]
20230729T230942,"(0, 0, 1)",3.89,[366],[3]
20230729T230946,"(1, 0, 0)",1.47,[291],[3]
20230729T230947,"(0, 0, 1)",5.15,[365],[3]
20230729T230952,"(1, 1, 0)",4.63,[328],[3]
20230729T230957,"(1, 0, 0)",8.09,[272],[3]
20230729T231005,"(1, 1, 0)",9.5,[476],[3]
20230729T231015,"(0, 0, 1)",5.28,[280],[3]
20230729T231020,"(0, 1, 0)",2.69,[386],[3]
20230729T231023,"(0, 0, 1)",2.46,[356],[3]
20230729T231025,"(1, 1, 0)",1.02,[339],[3]
20230729T231026,"(0, 1, 0)",6.7,[378],[3]
20230729T231033,"(1, 1, 0)",9.5,[357],[3]
20230729T231042,"(1, 0, 0)",9.46,[290],[3]
20230729T231052,"(1, 1, 0)",7.69,[341],[3]
20230729T231100,"(0, 0, 1)",7.38,[313],[3]
20230729T231107,"(1, 0, 0)",9.82,[345],[3]
20230729T231117,"(1, 1, 0)",8.71,[339],[3]
20230729T231126,"(1, 0, 0)",3.83,[420],[3]
20230729T231129,"(0, 0, 1)",8.14,[422],[3]
20230729T231138,"(1, 0, 0)",2.57,[448],[3]
20230729T231140,"(0, 1, 0)",6.89,[624],[3]
20230729T231147,"(1, 0, 0)",1.13,[324],[3]
20230729T231148,"(0, 0, 1)",1.18,[417],[3]
20230729T231149,"(0, 1, 0)",7.26,[347],[3]
20230729T231157,"(1, 1, 0)",6.17,[433],[3]
20230729T231203,"(0, 0, 1)",5.24,[393],[3]
20230729T231208,"(0, 1, 0)",6.88,[447],[3]
20230729T231215,"(1, 1, 0)",2.92,[375],[3]
20230729T231218,"(1, 0, 0)",9.81,[378],[3]
20230729T231228,"(0, 1, 0)",6.14,[304],[3]
20230729T231234,"(1, 1, 0)",7.28,[369],[3]
20230729T231241,"(0, 1, 0)",2.34,[353],[3]
20230729T231244,"(0, 0, 1)",8.49,[424],[3]
20230729T231252,"(1, 1, 0)",4.95,[449],[3]
20230729T231257,"(1, 0, 0)",7.89,[505],[3]
20230729T231305,"(1, 1, 0)",4.41,[473],[3]
20230729T231309,"(0, 1, 0)",3.18,[1166],[3]
20230729T231313,"(1, 0, 0)",6.92,[370],[3]
20230729T231320,"(0, 1, 0)",8.57,[349],[3]
20230729T231328,"(0, 0, 1)",1.81,[422],[3]
20230729T231330,"(1, 1, 0)",8.56,[393],[3]
20230729T231339,"(0, 0, 1)",6.4,[573],[3]
20230729T231345,"(0, 1, 0)",2.17,[502],[3]
20230729T231347,"(1, 1, 0)",5.53,[],[]
20230729T231353,"(0, 1, 0)",8.97,[524],[3]
20230729T231402,"(1, 1, 0)",4.75,[493],[3]
20230729T231406,"(0, 0, 1)",8.16,[387],[3]
20230729T231415,"(1, 1, 0)",8.08,[358],[3]
20230729T231423,"(0, 1, 0)",7.28,[558],[3]
20230729T231430,"(0, 0, 1)",1.56,[1259],[3]
20230729T231432,"(1, 1, 0)",1.67,[1043],[3]
20230729T231433,"(1, 0, 0)",9.94,[373],[3]
20230729T231443,"(0, 1, 0)",8.8,[361],[3]
20230729T231452,"(1, 1, 0)",6.06,[],[]
20230729T231458,"(0, 1, 0)",2.5,[396],[3]
20230729T231501,"(0, 0, 1)",5.44,[382],[3]
20230729T231506,"(0, 1, 0)",8.21,[907],[3]
20230729T231514,"(0, 0, 1)",3.66,[1160],[3]
20230729T231518,"(1, 0, 0)",2.65,[534],[3]
20230729T231521,"(0, 1, 0)",6.61,[1568],[3]
20230729T231527,"(1, 0, 0)",6.69,[322],[3]
20230729T231534,"(0, 1, 0)",5.01,[],[]
20230729T231539,"(1, 1, 0)",9.2,"[483, 4924]","[3, 3]"
20230729T231548,"(1, 0, 0)",6.53,[326],[3]
20230729T231555,"(0, 0, 1)",7.78,[370],[3]
20230729T231603,"(1, 0, 0)",5.87,[513],[3]
20230729T231609,"(0, 0, 1)",1.22,[],[]
20230729T231610,"(1, 0, 0)",5.97,"[164, 3558]","[3, 3]"
20230729T231616,"(0, 0, 1)",5.81,[523],[3]
20230729T231622,"(0, 1, 0)",9.21,[2219],[3]
20230729T231631,"(0, 0, 1)",7.39,[],[]
20230729T231638,"(0, 1, 0)",4.04,[460],[3]
20230729T231642,"(1, 0, 0)",7.98,[435],[3]
20230729T231650,"(0, 0, 1)",3.58,[3539],[3]
20230729T231654,"(0, 1, 0)",8.46,[596],[3]
20230729T231703,"(0, 0, 1)",7.17,[493],[3]
20230729T231710,"(1, 0, 0)",1.28,[],[]
20230729T231711,"(1, 1, 0)",4.68,[640],[3]
20230729T231716,"(0, 1, 0)",9.59,[1467],[3]
20230729T231725,"(1, 0, 0)",5.66,[1353],[3]
20230729T231731,"(0, 0, 1)",4.91,[772],[3]
20230729T231736,"(0, 1, 0)",7.86,"[529, 5747]","[3, 3]"
20230729T231744,"(1, 0, 0)",7.38,[378],[3]
20230729T231751,"(1, 1, 0)",5.29,[352],[3]
20230729T231757,"(1, 0, 0)",2.68,[40],[3]
20230729T231759,"(0, 1, 0)",4.43,[],[]
20230729T231804,"(1, 0, 0)",9.76,[3905],[3]
20230729T231813,"(1, 1, 0)",8.11,[488],[3]
20230729T231822,"(1, 0, 0)",8.69,[],[]
20230729T231830,"(1, 1, 0)",8.58,[3244],[3]
20230729T231839,"(0, 1, 0)",1.11,[],[]
20230729T231840,"(1, 1, 0)",7.49,[],[]
20230729T231848,"(0, 0, 1)",7.66,[301],[3]
20230729T231855,"(0, 1, 0)",3.03,[472],[3]
20230729T231858,"(1, 0, 0)",3.17,[377],[3]
20230729T231901,"(1, 1, 0)",5.34,[336],[3]
20230729T231907,"(1, 0, 0)",4.95,[453],[3]
20230729T231912,"(0, 0, 1)",3.1,[456],[3]
20230729T231915,"(0, 1, 0)",8.42,[415],[3]
20230729T231923,"(0, 0, 1)",5.35,[353],[3]
20230729T231929,"(0, 1, 0)",5.17,[327],[3]
20230729T231934,"(1, 0, 0)",8.99,[336],[3]
20230729T231943,"(1, 1, 0)",3.27,[379],[3]
20230729T231946,"(0, 0, 1)",3.3,[311],[3]
