Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T232349,2.76,[0],[713]
20230724T232352,4.01,[0],[345]
20230724T232356,3.29,[0],[503]
20230724T232359,7.03,[0],[623]
20230724T232406,4.38,[0],[303]
20230724T232410,7.54,[0],[321]
20230724T232418,6.56,[0],[277]
20230724T232424,3.11,[0],[292]
20230724T232428,7.52,[0],[362]
20230724T232435,8.11,[0],[259]
20230724T232443,4.18,[0],[267]
20230724T232447,1.86,[0],[329]
20230724T232449,3.36,[0],[305]
20230724T232453,4.03,[0],[268]
20230724T232457,1.38,[0],[382]
20230724T232458,1.16,[0],[381]
20230724T232459,7.85,[0],[266]
20230724T232507,7.91,[0],[302]
20230724T232515,7.12,[0],[339]
20230724T232522,8.79,[0],[311]
20230724T232531,5.54,[0],[273]
20230724T232537,2.4,[0],[295]
20230724T232539,3.8,[0],[286]
20230724T232543,4.47,[0],[277]
20230724T232547,2.4,[0],[260]
20230724T232550,2.12,[0],[286]
20230724T232552,5.28,[0],[271]
20230724T232557,4.42,[0],[279]
20230724T232601,3.84,[0],[323]
20230724T232605,4.41,[0],[347]
20230724T232610,4.41,[0],[287]
20230724T232614,5.29,[0],[323]
20230724T232619,2.63,[0],[332]
20230724T232622,7.09,[0],[484]
20230724T232629,5.06,[0],[315]
20230724T232634,1.88,[0],[422]
20230724T232636,8.77,[0],[366]
20230724T232645,5.17,[0],[286]
