Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T225423,4.1,[0],[309]
20230724T225427,3.55,[0],[319]
20230724T225431,4.96,[0],[344]
20230724T225436,3.67,[0],[263]
20230724T225439,5.77,[0],[276]
20230724T225445,1.8,[0],[238]
20230724T225447,4.69,[0],[358]
20230724T225452,7.08,[0],[295]
20230724T225459,2.82,[0],[291]
20230724T225501,2.27,[0],[324]
20230724T225504,1.6,[0],[290]
20230724T225505,2.68,[0],[352]
20230724T225508,8.34,[0],[256]
20230724T225516,2.87,[0],[280]
20230724T225519,1.89,[0],[308]
20230724T225521,6.21,[0],[472]
20230724T225527,2.94,[0],[291]
20230724T225530,6.49,[0],[381]
20230724T225537,4.44,[0],[310]
20230724T225541,3.5,[0],[274]
20230724T225545,7.25,[0],[293]
20230724T225552,7.24,[0],[369]
20230724T225559,5.3,"[0, 0]","[358, 851]"
20230724T225605,2.38,[0],[284]
20230724T225607,8.7,[0],[362]
20230724T225616,8.49,[0],[324]
20230724T225624,7.14,[0],[384]
20230724T225631,5.96,[0],[230]
20230724T225637,5.0,[0],[289]
20230724T225642,5.69,[0],[290]
20230724T225648,8.08,[0],[246]
20230724T225656,2.71,[0],[265]
20230724T225659,7.29,[0],[292]
20230724T225706,7.04,[0],[331]
20230724T225713,5.85,[0],[342]
20230724T225719,2.51,[0],[383]
20230724T225722,3.6,[0],[353]
