Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230725T005634,6.54,[0],[648]
20230725T005640,3.41,[0],[315]
20230725T005644,6.94,[0],[463]
20230725T005651,6.94,[0],[301]
20230725T005658,8.71,[0],[478]
20230725T005706,2.7,[0],[358]
20230725T005709,5.02,[0],[333]
20230725T005714,1.63,[0],[307]
20230725T005716,6.29,[0],[297]
20230725T005722,4.5,[0],[340]
20230725T005727,2.33,[0],[290]
20230725T005729,5.22,[0],[279]
20230725T005734,6.95,[0],[257]
20230725T005741,2.92,[0],[407]
20230725T005744,1.09,[0],[271]
20230725T005745,4.03,[0],[365]
20230725T005749,3.86,[0],[281]
20230725T005753,3.14,[0],[499]
20230725T005756,7.45,[0],[294]
20230725T005804,5.15,[0],[281]
20230725T005809,7.6,[0],[348]
20230725T005816,6.95,[0],[263]
20230725T005823,8.05,[0],[214]
20230725T005831,8.04,[0],[211]
20230725T005840,1.88,[0],[217]
20230725T005841,1.0,[0],[275]
20230725T005842,5.67,[0],[255]
20230725T005848,8.03,[0],[275]
20230725T005856,7.71,[0],[254]
20230725T005904,7.47,[0],[280]
20230725T005911,4.46,[0],[292]
20230725T005916,6.74,[0],[332]
20230725T005923,1.91,[0],[299]
20230725T005924,4.06,[0],[266]
20230725T005929,4.88,[0],[262]
