Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T222255,7.39,[0],[218]
20230724T222303,8.44,[0],[297]
20230724T222311,4.19,[0],[348]
20230724T222315,3.23,[0],[281]
20230724T222319,2.39,[0],[272]
20230724T222321,4.96,[0],[286]
20230724T222326,7.64,[0],[322]
20230724T222334,1.35,[0],[275]
20230724T222335,7.32,[0],[286]
20230724T222342,4.05,[0],[247]
20230724T222346,2.99,[0],[297]
20230724T222349,4.54,[0],[321]
20230724T222354,4.14,[0],[279]
20230724T222358,5.43,[0],[317]
20230724T222404,6.55,[0],[314]
20230724T222410,7.18,[0],[279]
20230724T222417,3.45,[0],[329]
20230724T222421,2.45,[0],[339]
20230724T222423,1.7,[0],[459]
20230724T222425,8.64,[0],[243]
20230724T222434,1.45,[0],[387]
20230724T222435,2.26,[0],[321]
20230724T222437,2.29,[0],[336]
20230724T222440,1.06,[0],[301]
20230724T222441,8.76,[0],[294]
20230724T222449,1.18,[0],[321]
20230724T222451,4.22,[0],[233]
20230724T222455,1.61,[0],[301]
20230724T222456,6.02,[0],[309]
20230724T222503,6.7,[0],[293]
20230724T222509,8.77,[0],[290]
20230724T222518,4.38,[0],[342]
20230724T222522,2.63,[0],[362]
20230724T222525,8.17,[0],[581]
20230724T222533,6.1,[0],[261]
20230724T222539,6.89,[0],[367]
20230724T222546,3.29,[0],[274]
20230724T222550,8.44,[0],[321]
