Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230718T000554,2.61,[3],[240]
20230718T000557,7.45,[3],[255]
20230718T000604,4.75,[3],[202]
20230718T000609,8.28,[3],[240]
20230718T000617,7.71,[3],[236]
20230718T000625,4.94,[3],[254]
20230718T000630,7.85,[3],[250]
20230718T000638,1.49,[3],[344]
20230718T000639,8.68,[3],[336]
20230718T000648,8.64,[3],[386]
20230718T000656,6.77,[3],[433]
20230718T000703,8.78,[3],[373]
20230718T000712,4.08,[3],[309]
20230718T000716,7.38,[3],[306]
20230718T000724,1.01,[3],[272]
20230718T000725,7.1,[3],[325]
20230718T000732,1.81,[3],[278]
20230718T000733,4.09,[3],[283]
20230718T000738,1.97,[3],[257]
20230718T000740,7.87,[3],[220]
20230718T000747,5.13,[3],[216]
20230718T000753,7.97,[3],[261]
20230718T000801,1.53,[3],[222]
20230718T000802,3.81,[3],[304]
20230718T000806,8.79,[3],[308]
20230718T000815,5.18,[3],[250]
20230718T000820,6.21,[3],[235]
20230718T000826,6.15,[3],[230]
20230718T000832,2.35,[3],[212]
20230718T000835,3.9,[3],[271]
20230718T000839,5.13,[3],[238]
20230718T000844,8.84,[3],[294]
20230718T000853,7.6,[3],[260]
