Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230717T220800,8.14,[1],[300]
20230717T220808,6.26,[1],[213]
20230717T220815,2.24,[1],[272]
20230717T220817,4.96,[1],[281]
20230717T220822,7.86,[1],[274]
20230717T220830,1.72,[1],[348]
20230717T220831,5.78,[1],[313]
20230717T220837,7.03,[1],[314]
20230717T220844,3.73,[1],[226]
20230717T220848,3.91,[1],[298]
20230717T220852,6.24,[1],[337]
20230717T220858,7.28,[1],[280]
20230717T220905,8.88,[1],[233]
20230717T220914,6.47,[1],[353]
20230717T220921,3.07,[1],[244]
20230717T220924,2.0,[1],[276]
20230717T220926,7.43,[1],[230]
20230717T220933,3.09,[1],[236]
20230717T220936,4.67,[1],[318]
20230717T220941,2.61,[1],[240]
20230717T220944,5.24,[1],[233]
20230717T220949,8.78,[1],[250]
20230717T220958,7.94,[1],[227]
20230717T221006,5.16,[1],[305]
20230717T221011,5.58,[1],[325]
20230717T221017,4.39,[1],[226]
20230717T221021,2.62,[1],[259]
20230717T221024,7.7,[1],[236]
20230717T221031,8.89,[1],[218]
20230717T221040,8.63,[1],[218]
20230717T221049,2.67,[1],[273]
20230717T221051,4.67,[1],[297]
20230717T221056,8.23,[1],[213]
