Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230717T210604,3.55,[1],[411]
20230717T210607,4.58,[0],[380]
20230717T210612,7.32,[2],[382]
20230717T210619,8.76,[4],[435]
20230717T210628,7.52,[4],[283]
20230717T210636,6.13,[4],[264]
20230717T210642,2.45,[4],[282]
20230717T210644,6.03,[4],[315]
20230717T210650,2.25,[4],[322]
20230717T210652,7.9,[4],[265]
20230717T210700,6.87,[4],[241]
20230717T210707,5.16,[4],[265]
20230717T210712,6.2,[2],[278]
20230717T210719,1.42,[2],[224]
20230717T210720,8.34,[2],[254]
20230717T210728,3.09,[2],[272]
20230717T210731,7.43,[2],[271]
20230717T210739,7.79,[2],[274]
20230717T210747,1.99,[2],[219]
20230717T210749,5.9,[2],[231]
20230717T210755,1.57,[2],[250]
20230717T210756,7.21,[2],[289]
20230717T210803,4.6,[2],[208]
20230717T210808,1.34,[2],[244]
20230717T210809,2.23,[2],[249]
20230717T210812,2.41,[2],[230]
20230717T210814,5.28,[2],[232]
20230717T210819,7.18,[2],[272]
20230717T210827,7.78,[2],[280]
20230717T210834,6.72,[2],[256]
20230717T210841,8.15,[2],[218]
20230717T210849,7.33,[2],[218]
20230717T210857,1.93,[2],[325]
20230717T210858,7.53,[2],[263]
