Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T232330,3.28,[0],[318]
20230721T232333,3.88,[0],[374]
20230721T232337,6.01,[0],[323]
20230721T232343,4.83,[0],[425]
20230721T232348,2.15,[0],[485]
20230721T232350,2.78,[0],[342]
20230721T232353,5.61,[0],[296]
20230721T232359,2.02,[0],[391]
20230721T232401,8.18,[0],[328]
20230721T232409,7.75,[0],[518]
20230721T232416,5.69,[0],[273]
20230721T232422,8.5,[0],[274]
20230721T232431,4.58,[0],[280]
20230721T232435,4.75,[0],[312]
20230721T232440,2.53,[0],[362]
20230721T232443,3.62,[0],[310]
20230721T232446,4.87,[0],[363]
20230721T232451,6.06,[0],[354]
20230721T232457,5.95,[0],[707]
20230721T232503,5.41,[0],[610]
20230721T232509,3.06,[0],[319]
20230721T232512,7.01,[0],[335]
20230721T232519,5.84,[0],[368]
20230721T232524,1.48,[0],[337]
20230721T232526,1.37,[0],[327]
20230721T232527,8.7,[0],[314]
20230721T232536,1.29,[0],[345]
20230721T232537,4.8,[0],[325]
20230721T232542,7.48,[0],[263]
20230721T232550,3.07,[0],[534]
20230721T232553,2.98,[0],[379]
20230721T232556,4.72,[0],[323]
20230721T232600,7.99,[0],[364]
20230721T232608,4.75,[0],[293]
20230721T232613,3.31,[0],[355]
20230721T232617,2.21,[0],[315]
20230721T232619,8.04,[0],[367]
20230721T232627,5.66,[0],[337]
