Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T235308,3.39,[0],[427]
20230721T235312,1.09,[0],[753]
20230721T235313,1.14,[0],[605]
20230721T235314,4.66,[0],[373]
20230721T235319,1.32,[0],[327]
20230721T235320,1.56,[0],[378]
20230721T235322,5.92,[0],[349]
20230721T235327,6.89,[0],[357]
20230721T235334,4.61,[0],[356]
20230721T235339,2.74,[0],[436]
20230721T235342,4.13,[0],[454]
20230721T235346,8.34,[0],[523]
20230721T235354,6.04,[0],[337]
20230721T235400,8.05,[0],[426]
20230721T235408,4.82,[0],[263]
20230721T235413,5.78,[0],[328]
20230721T235419,4.23,[0],[496]
20230721T235423,3.76,[0],[384]
20230721T235427,6.79,[0],[578]
20230721T235434,3.3,[0],[388]
20230721T235437,1.95,[0],[439]
20230721T235439,2.08,[0],[350]
20230721T235441,7.41,[0],[333]
20230721T235449,3.0,[0],[286]
20230721T235452,1.68,[0],[375]
20230721T235453,5.83,[0],[415]
20230721T235459,4.35,[0],[346]
20230721T235503,3.71,[0],[361]
20230721T235507,6.26,[0],[532]
20230721T235513,5.68,[0],[364]
20230721T235519,5.68,[0],[401]
20230721T235525,1.74,[0],[414]
20230721T235527,8.52,[0],[377]
20230721T235535,8.87,[0],[294]
20230721T235544,5.22,[0],[427]
20230721T235549,6.79,[0],[310]
20230721T235556,5.72,[0],[359]
20230721T235602,2.79,[0],[608]
20230721T235605,1.05,[0],[350]
20230721T235606,5.23,[0],[475]
