Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T212617,6.78,[0],[504]
20230721T212624,2.74,[0],[320]
20230721T212627,5.98,[0],[450]
20230721T212633,8.07,[0],[307]
20230721T212641,7.41,[0],[244]
20230721T212648,6.51,[0],[261]
20230721T212655,1.54,[0],[266]
20230721T212656,7.39,[0],[309]
20230721T212704,2.3,[0],[280]
20230721T212706,7.1,[0],[294]
20230721T212713,1.39,[0],[290]
20230721T212715,8.24,[0],[368]
20230721T212723,6.93,[0],[292]
20230721T212730,1.37,[0],[297]
20230721T212731,4.9,[0],[287]
20230721T212736,8.64,[0],[274]
20230721T212745,2.3,[0],[403]
20230721T212747,6.75,[0],[309]
20230721T212754,4.93,[0],[334]
20230721T212759,8.2,[0],[301]
20230721T212807,8.18,[0],[317]
20230721T212815,8.69,[0],[239]
20230721T212824,1.32,[0],[303]
20230721T212825,7.0,[0],[306]
20230721T212832,6.04,[0],[317]
20230721T212838,8.6,[0],[288]
20230721T212847,3.75,[0],[265]
20230721T212851,4.92,[0],[367]
20230721T212856,8.32,[0],[352]
20230721T212904,7.99,[0],[367]
20230721T212912,7.41,[0],[407]
