Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230721T222304,3.93,[0],[589]
20230721T222308,7.96,[0],[364]
20230721T222316,5.08,[0],[520]
20230721T222321,6.99,[0],[468]
20230721T222328,4.16,[0],[378]
20230721T222333,4.02,[0],[341]
20230721T222337,4.84,[0],[306]
20230721T222342,2.5,[0],[304]
20230721T222344,3.54,[0],[313]
20230721T222348,8.09,[0],[460]
20230721T222356,1.87,[0],[313]
20230721T222358,7.66,[0],[441]
20230721T222405,2.49,[0],[670]
20230721T222408,3.09,[0],[309]
20230721T222411,3.46,[0],[335]
20230721T222414,5.88,[0],[374]
20230721T222420,4.79,[0],[384]
20230721T222425,1.71,[0],[428]
20230721T222427,8.95,[0],[398]
20230721T222436,1.26,[0],[385]
20230721T222437,6.17,[0],[342]
20230721T222443,2.33,[0],[702]
20230721T222445,4.71,"[0, 0]","[459, 1403]"
20230721T222450,6.22,[0],[416]
20230721T222456,3.02,[0],[460]
20230721T222459,3.58,[0],[440]
20230721T222503,2.5,[0],[412]
20230721T222506,7.22,[0],[405]
20230721T222513,1.95,[0],[367]
20230721T222515,8.98,[0],[318]
20230721T222524,5.75,[0],[424]
20230721T222529,8.24,[0],[389]
20230721T222538,5.67,[0],[692]
20230721T222543,5.22,[0],[643]
20230721T222549,8.94,[0],[473]
20230721T222558,1.99,[0],[455]
20230721T222600,7.37,[0],[306]
