Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230729T220005,"(0, 0, 1)",7.31,[383],[0]
20230729T220012,"(0, 1, 0)",8.55,[241],[0]
20230729T220021,"(1, 1, 0)",9.6,[261],[0]
20230729T220030,"(0, 0, 1)",1.62,[315],[0]
20230729T220032,"(1, 1, 0)",5.09,[344],[0]
20230729T220037,"(0, 1, 0)",7.38,[319],[0]
20230729T220045,"(1, 0, 0)",5.81,[303],[0]
20230729T220050,"(1, 1, 0)",3.59,[357],[0]
20230729T220054,"(0, 1, 0)",6.23,[338],[0]
20230729T220100,"(1, 0, 0)",4.03,[261],[0]
20230729T220104,"(0, 1, 0)",4.96,[299],[0]
20230729T220109,"(1, 1, 0)",6.64,[278],[0]
20230729T220116,"(1, 0, 0)",3.15,[336],[0]
20230729T220119,"(0, 1, 0)",5.71,[401],[0]
20230729T220125,"(1, 0, 0)",7.05,[274],[0]
20230729T220132,"(1, 1, 0)",8.88,[329],[0]
20230729T220141,"(0, 0, 1)",3.92,[295],[0]
20230729T220145,"(1, 0, 0)",3.74,[526],[0]
20230729T220149,"(0, 0, 1)",5.49,[533],[0]
20230729T220154,"(1, 0, 0)",6.3,[302],[0]
20230729T220200,"(0, 0, 1)",9.7,[284],[0]
20230729T220210,"(0, 1, 0)",4.6,[322],[0]
20230729T220215,"(0, 0, 1)",1.74,[866],[0]
20230729T220216,"(1, 1, 0)",9.93,[464],[0]
20230729T220226,"(0, 1, 0)",3.58,[448],[0]
20230729T220230,"(1, 0, 0)",8.02,[412],[0]
20230729T220238,"(1, 1, 0)",6.36,[335],[0]
20230729T220244,"(1, 0, 0)",1.3,[413],[0]
20230729T220246,"(1, 1, 0)",6.8,[353],[0]
20230729T220253,"(0, 1, 0)",6.37,[332],[0]
20230729T220259,"(1, 0, 0)",6.02,[445],[0]
20230729T220305,"(0, 0, 1)",7.7,[339],[0]
20230729T220313,"(1, 0, 0)",3.59,[290],[0]
20230729T220316,"(1, 1, 0)",8.42,[282],[0]
20230729T220325,"(0, 1, 0)",3.72,[333],[0]
20230729T220329,"(0, 0, 1)",6.68,[315],[0]
20230729T220335,"(1, 0, 0)",6.19,[337],[0]
20230729T220341,"(1, 1, 0)",5.65,[284],[0]
20230729T220347,"(0, 1, 0)",6.88,[339],[0]
20230729T220354,"(1, 0, 0)",4.05,[349],[0]
20230729T220358,"(0, 1, 0)",3.2,[323],[0]
20230729T220401,"(1, 0, 0)",4.72,[380],[0]
20230729T220406,"(0, 0, 1)",8.54,[391],[0]
20230729T220415,"(1, 0, 0)",8.51,[372],[0]
20230729T220423,"(0, 0, 1)",8.71,[354],[0]
20230729T220432,"(1, 1, 0)",1.93,[383],[0]
20230729T220434,"(0, 0, 1)",1.57,[431],[0]
20230729T220435,"(1, 1, 0)",5.12,[323],[0]
20230729T220441,"(0, 0, 1)",9.49,[411],[0]
20230729T220450,"(1, 1, 0)",5.43,[288],[0]
20230729T220455,"(1, 0, 0)",2.81,[329],[0]
20230729T220458,"(1, 1, 0)",5.71,[387],[0]
20230729T220504,"(0, 1, 0)",2.4,[414],[0]
20230729T220506,"(0, 0, 1)",7.58,[479],[0]
20230729T220514,"(1, 1, 0)",2.97,[417],[0]
20230729T220517,"(0, 0, 1)",3.76,[358],[0]
20230729T220521,"(0, 1, 0)",7.04,[362],[0]
20230729T220528,"(0, 0, 1)",5.45,[438],[0]
20230729T220533,"(0, 1, 0)",2.69,[366],[0]
20230729T220536,"(1, 1, 0)",8.22,[347],[0]
20230729T220544,"(0, 0, 1)",1.34,[269],[0]
20230729T220546,"(0, 1, 0)",1.58,[378],[0]
20230729T220547,"(0, 0, 1)",1.21,[429],[0]
20230729T220548,"(1, 1, 0)",2.77,[304],[0]
20230729T220551,"(1, 0, 0)",3.46,[516],[0]
20230729T220555,"(0, 0, 1)",9.12,[419],[0]
20230729T220604,"(1, 1, 0)",4.16,[445],[0]
20230729T220608,"(1, 0, 0)",8.42,[343],[0]
20230729T220617,"(0, 0, 1)",7.0,[346],[0]
20230729T220624,"(1, 0, 0)",6.09,[440],[0]
20230729T220630,"(0, 1, 0)",2.16,[345],[0]
20230729T220632,"(1, 0, 0)",2.78,[361],[0]
