Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230729T230410,"(1, 1, 0)",6.08,[323],[0]
20230729T230416,"(0, 1, 0)",6.06,[303],[0]
20230729T230422,"(1, 1, 0)",3.26,[450],[0]
20230729T230425,"(0, 0, 1)",1.64,[339],[0]
20230729T230427,"(0, 1, 0)",2.07,[350],[0]
20230729T230429,"(1, 0, 0)",1.98,[315],[0]
20230729T230431,"(0, 1, 0)",5.92,[300],[0]
20230729T230437,"(0, 0, 1)",5.6,[245],[0]
20230729T230443,"(1, 1, 0)",5.08,[287],[0]
20230729T230448,"(0, 1, 0)",5.95,[302],[0]
20230729T230454,"(0, 0, 1)",5.0,[446],[0]
20230729T230459,"(1, 1, 0)",2.82,[315],[0]
20230729T230502,"(0, 0, 1)",9.76,[387],[0]
20230729T230511,"(1, 0, 0)",8.06,[376],[0]
20230729T230519,"(0, 1, 0)",7.04,[339],[0]
20230729T230526,"(0, 0, 1)",9.0,[336],[0]
20230729T230535,"(0, 1, 0)",4.41,[498],[0]
20230729T230540,"(1, 1, 0)",8.77,[356],[0]
20230729T230549,"(0, 0, 1)",8.32,[392],[0]
20230729T230557,"(0, 1, 0)",5.79,[363],[0]
20230729T230603,"(1, 1, 0)",1.43,[393],[0]
20230729T230604,"(0, 1, 0)",5.22,[449],[0]
20230729T230610,"(1, 1, 0)",2.49,[435],[0]
20230729T230612,"(0, 0, 1)",8.26,[391],[0]
20230729T230620,"(1, 0, 0)",7.1,[418],[0]
20230729T230627,"(1, 1, 0)",4.3,[417],[0]
20230729T230632,"(0, 0, 1)",7.77,[457],[0]
20230729T230640,"(0, 1, 0)",5.2,[396],[0]
20230729T230645,"(1, 1, 0)",3.06,[357],[0]
20230729T230648,"(0, 0, 1)",9.55,[322],[0]
20230729T230657,"(1, 0, 0)",5.89,[342],[0]
20230729T230703,"(0, 0, 1)",3.43,[390],[0]
20230729T230707,"(1, 1, 0)",6.42,[528],[0]
20230729T230713,"(0, 0, 1)",4.53,[459],[0]
20230729T230718,"(1, 0, 0)",8.8,[374],[0]
20230729T230727,"(0, 0, 1)",6.46,[357],[0]
20230729T230733,"(1, 0, 0)",7.35,[358],[0]
20230729T230740,"(0, 0, 1)",7.69,[316],[0]
20230729T230748,"(0, 1, 0)",5.21,[317],[0]
20230729T230753,"(0, 0, 1)",8.6,[317],[0]
20230729T230802,"(1, 1, 0)",7.41,[321],[0]
20230729T230809,"(0, 1, 0)",3.39,[453],[0]
20230729T230813,"(1, 1, 0)",7.47,[391],[0]
20230729T230820,"(1, 0, 0)",6.03,[476],[0]
20230729T230826,"(0, 0, 1)",3.88,"[427, 2217]","[0, 0]"
20230729T230830,"(0, 1, 0)",1.69,[493],[0]
20230729T230832,"(0, 0, 1)",5.28,[968],[0]
20230729T230837,"(1, 0, 0)",9.36,[421],[0]
20230729T230847,"(0, 0, 1)",4.4,[337],[0]
20230729T230851,"(1, 0, 0)",8.7,[1076],[0]
20230729T230900,"(0, 1, 0)",9.04,[459],[0]
20230729T230909,"(1, 1, 0)",8.88,[466],[0]
20230729T230918,"(0, 1, 0)",7.24,[419],[0]
20230729T230925,"(0, 0, 1)",8.53,[346],[0]
20230729T230934,"(0, 1, 0)",6.42,[317],[0]
20230729T230940,"(1, 0, 0)",2.14,[457],[0]
20230729T230942,"(0, 0, 1)",1.33,[1296],[0]
20230729T230944,"(0, 1, 0)",5.86,[478],[0]
20230729T230950,"(1, 1, 0)",7.53,[449],[0]
20230729T230957,"(0, 1, 0)",5.62,[984],[0]
20230729T231003,"(1, 0, 0)",3.8,[472],[0]
20230729T231007,"(1, 1, 0)",2.4,[479],[0]
20230729T231009,"(0, 0, 1)",5.22,[408],[0]
20230729T231014,"(1, 1, 0)",3.97,[385],[0]
20230729T231018,"(1, 0, 0)",5.39,[306],[0]
20230729T231024,"(0, 0, 1)",3.85,[370],[0]
20230729T231028,"(1, 1, 0)",3.18,[370],[0]
20230729T231031,"(1, 0, 0)",2.19,[696],[0]
20230729T231033,"(0, 0, 1)",2.02,[721],[0]
20230729T231035,"(1, 0, 0)",2.18,[323],[0]
20230729T231037,"(1, 1, 0)",1.36,[300],[0]
20230729T231039,"(0, 1, 0)",6.49,[293],[0]
20230729T231045,"(1, 1, 0)",1.44,[446],[0]
20230729T231047,"(0, 1, 0)",6.37,[551],[0]
20230729T231053,"(1, 1, 0)",4.05,[342],[0]
20230729T231057,"(0, 1, 0)",3.81,[1004],[0]
20230729T231101,"(1, 1, 0)",3.09,[446],[0]
20230729T231104,"(1, 0, 0)",1.5,[357],[0]
20230729T231105,"(1, 1, 0)",4.5,[370],[0]
20230729T231110,"(0, 0, 1)",8.17,[660],[0]
20230729T231118,"(0, 1, 0)",7.25,[1020],[0]
20230729T231125,"(1, 1, 0)",2.12,[581],[0]
20230729T231128,"(0, 1, 0)",3.12,[470],[0]
20230729T231131,"(1, 0, 0)",9.94,[355],[0]
20230729T231141,"(1, 1, 0)",8.76,[481],[0]
20230729T231149,"(0, 0, 1)",1.75,[1662],[0]
20230729T231151,"(0, 1, 0)",2.6,[492],[0]
20230729T231154,"(0, 0, 1)",4.79,[424],[0]
20230729T231159,"(1, 1, 0)",8.66,[376],[0]
20230729T231207,"(0, 1, 0)",3.33,[354],[0]
20230729T231211,"(0, 0, 1)",7.41,[357],[0]
20230729T231218,"(0, 1, 0)",3.76,[330],[0]
20230729T231222,"(1, 0, 0)",2.66,[436],[0]
20230729T231225,"(0, 1, 0)",2.72,[383],[0]
20230729T231227,"(0, 0, 1)",9.7,[387],[0]
20230729T231237,"(0, 1, 0)",1.37,[536],[0]
20230729T231239,"(0, 0, 1)",6.57,[531],[0]
20230729T231245,"(1, 0, 0)",9.5,[476],[0]
20230729T231255,"(0, 1, 0)",6.8,[551],[0]
20230729T231301,"(1, 0, 0)",8.34,[484],[0]
20230729T231310,"(0, 0, 1)",4.44,[1170],[0]
20230729T231314,"(0, 1, 0)",4.96,[557],[0]
20230729T231319,"(1, 0, 0)",9.07,[503],[0]
20230729T231328,"(0, 0, 1)",8.65,[392],[0]
20230729T231337,"(0, 1, 0)",6.03,[519],[0]
20230729T231343,"(1, 1, 0)",9.4,[859],[0]
20230729T231353,"(1, 0, 0)",3.69,[357],[0]
20230729T231356,"(1, 1, 0)",6.53,[356],[0]
20230729T231403,"(1, 0, 0)",5.03,[817],[0]
20230729T231408,"(0, 0, 1)",5.79,[605],[0]
20230729T231414,"(1, 0, 0)",7.68,[318],[0]
20230729T231421,"(1, 1, 0)",3.1,[459],[0]
20230729T231424,"(0, 0, 1)",7.44,[485],[0]
20230729T231432,"(0, 1, 0)",8.25,[308],[0]
20230729T231440,"(0, 0, 1)",4.18,[732],[0]
20230729T231444,"(1, 1, 0)",6.78,[877],[0]
20230729T231451,"(0, 0, 1)",5.32,[561],[0]
20230729T231457,"(0, 1, 0)",5.97,[363],[0]
20230729T231503,"(1, 1, 0)",2.18,[759],[0]
20230729T231505,"(0, 1, 0)",3.59,[516],[0]
20230729T231508,"(0, 0, 1)",5.18,[818],[0]
20230729T231514,"(1, 1, 0)",3.03,[652],[0]
20230729T231517,"(0, 0, 1)",9.02,[895],[0]
20230729T231526,"(1, 0, 0)",8.5,[558],[0]
20230729T231534,"(0, 0, 1)",2.07,[389],[0]
20230729T231536,"(0, 1, 0)",8.0,[488],[0]
20230729T231544,"(1, 1, 0)",9.47,[1066],[0]
20230729T231554,"(0, 1, 0)",1.53,[608],[0]
20230729T231555,"(1, 0, 0)",3.72,"[365, 2299]","[0, 0]"
20230729T231559,"(0, 0, 1)",1.81,[403],[0]
20230729T231601,"(0, 1, 0)",4.74,[419],[0]
20230729T231606,"(0, 0, 1)",5.19,[389],[0]
20230729T231611,"(0, 1, 0)",4.54,[410],[0]
20230729T231615,"(1, 0, 0)",9.02,[436],[0]
20230729T231624,"(1, 1, 0)",3.81,[460],[0]
20230729T231628,"(0, 1, 0)",8.7,[500],[0]
20230729T231637,"(0, 0, 1)",9.71,[484],[0]
20230729T231647,"(1, 1, 0)",9.64,[390],[0]
20230729T231656,"(0, 1, 0)",7.57,[505],[0]
20230729T231704,"(0, 0, 1)",9.07,[316],[0]
20230729T231713,"(1, 0, 0)",7.93,[356],[0]
20230729T231721,"(1, 1, 0)",8.66,[402],[0]
20230729T231730,"(0, 0, 1)",4.01,[341],[0]
20230729T231734,"(1, 1, 0)",7.03,[325],[0]
20230729T231741,"(0, 0, 1)",7.18,[320],[0]
20230729T231748,"(0, 1, 0)",2.33,[328],[0]
20230729T231750,"(0, 0, 1)",9.8,[366],[0]
20230729T231800,"(1, 0, 0)",4.22,[389],[0]
20230729T231804,"(0, 1, 0)",7.02,[686],[0]
20230729T231811,"(0, 0, 1)",7.57,[536],[0]
20230729T231819,"(1, 0, 0)",8.63,[506],[0]
20230729T231828,"(0, 1, 0)",4.54,[320],[0]
20230729T231832,"(0, 0, 1)",2.85,[511],[0]
20230729T231835,"(1, 1, 0)",4.39,[523],[0]
20230729T231840,"(0, 0, 1)",4.43,[341],[0]
20230729T231844,"(1, 1, 0)",1.97,[1198],[0]
20230729T231846,"(0, 1, 0)",7.74,[517],[0]
20230729T231854,"(0, 0, 1)",1.85,[433],[0]
20230729T231856,"(1, 1, 0)",8.13,[349],[0]
20230729T231904,"(0, 0, 1)",5.37,[1014],[0]
20230729T231909,"(0, 1, 0)",1.72,[604],[0]
20230729T231911,"(1, 0, 0)",5.57,[481],[0]
20230729T231916,"(0, 0, 1)",4.58,[641],[0]
20230729T231921,"(0, 1, 0)",3.09,[456],[0]
20230729T231924,"(1, 1, 0)",5.8,[436],[0]
20230729T231930,"(0, 1, 0)",3.41,[601],[0]
20230729T231933,"(1, 1, 0)",5.18,[678],[0]
20230729T231939,"(0, 1, 0)",3.43,[422],[0]
20230729T231942,"(0, 0, 1)",7.23,[560],[0]
20230729T231949,"(0, 1, 0)",6.16,[393],[0]
20230729T231956,"(1, 1, 0)",2.77,[443],[0]
20230729T231958,"(0, 1, 0)",9.79,[550],[0]
20230729T232008,"(1, 0, 0)",5.76,[419],[0]
20230729T232014,"(0, 0, 1)",1.08,[583],[0]
20230729T232015,"(0, 1, 0)",1.97,[623],[0]
20230729T232017,"(1, 1, 0)",1.71,[441],[0]
20230729T232019,"(1, 0, 0)",7.71,[444],[0]
20230729T232026,"(1, 1, 0)",4.15,[424],[0]
20230729T232031,"(0, 1, 0)",2.45,[429],[0]
20230729T232033,"(1, 1, 0)",6.48,[482],[0]
20230729T232040,"(0, 0, 1)",1.85,[347],[0]
20230729T232041,"(0, 1, 0)",1.84,[390],[0]
20230729T232043,"(0, 0, 1)",9.62,[403],[0]
20230729T232053,"(0, 1, 0)",4.69,[328],[0]
20230729T232058,"(1, 0, 0)",1.8,[434],[0]
20230729T232100,"(1, 1, 0)",1.6,[401],[0]
20230729T232101,"(1, 0, 0)",4.14,[335],[0]
20230729T232105,"(0, 0, 1)",6.74,[366],[0]
20230729T232112,"(0, 1, 0)",9.55,[536],[0]
20230729T232122,"(1, 0, 0)",5.89,[338],[0]
20230729T232128,"(0, 0, 1)",7.06,[374],[0]
20230729T232135,"(1, 0, 0)",2.13,[416],[0]
20230729T232137,"(0, 0, 1)",2.92,[382],[0]
20230729T232140,"(1, 0, 0)",7.38,[366],[0]
20230729T232147,"(0, 1, 0)",5.69,[417],[0]
20230729T232153,"(1, 1, 0)",9.38,[576],[0]
20230729T232202,"(1, 0, 0)",2.82,[487],[0]
20230729T232205,"(0, 0, 1)",6.71,[2070],[0]
20230729T232212,"(1, 0, 0)",1.89,[387],[0]
20230729T232214,"(0, 1, 0)",6.96,[391],[0]
20230729T232221,"(0, 0, 1)",4.87,[520],[0]
20230729T232226,"(1, 0, 0)",1.52,[],[]
20230729T232227,"(0, 1, 0)",9.3,[548],[0]
20230729T232236,"(1, 0, 0)",1.68,[1454],[0]
20230729T232238,"(1, 1, 0)",7.45,[434],[0]
20230729T232246,"(0, 0, 1)",2.57,[2032],[0]
20230729T232248,"(1, 0, 0)",7.99,[413],[0]
20230729T232256,"(1, 1, 0)",8.06,[2485],[0]
20230729T232304,"(1, 0, 0)",9.53,[5709],[0]
20230729T232314,"(1, 1, 0)",8.49,[5932],[0]
20230729T232322,"(1, 0, 0)",3.22,[495],[0]
20230729T232326,"(0, 0, 1)",5.09,[3549],[0]
20230729T232331,"(1, 0, 0)",7.52,[3781],[0]
20230729T232338,"(0, 0, 1)",1.99,[],[]
20230729T232340,"(0, 1, 0)",6.44,[2593],[0]
20230729T232347,"(1, 0, 0)",8.7,[2761],[0]
