Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230717T230658,4.68,[0],[453]
20230717T230702,5.86,[0],[276]
20230717T230708,8.16,[0],[239]
20230717T230716,3.49,[0],[229]
20230717T230720,8.23,[0],[415]
20230717T230728,8.59,[0],[286]
20230717T230737,5.44,[0],[352]
20230717T230742,5.13,[0],[282]
20230717T230747,7.45,[0],[310]
20230717T230755,5.88,[0],[256]
20230717T230801,4.91,[0],[281]
20230717T230806,2.46,[0],[321]
20230717T230808,6.66,[0],[320]
20230717T230815,3.98,[0],[372]
20230717T230819,1.59,[0],[290]
20230717T230820,5.37,[0],[329]
20230717T230826,7.07,[0],[296]
20230717T230833,4.8,[0],[314]
20230717T230838,1.76,[0],[284]
20230717T230839,7.7,[0],[332]
20230717T230847,5.85,[0],[365]
20230717T230853,8.94,[0],[401]
20230717T230902,2.62,[0],[282]
20230717T230904,7.46,[0],[329]
20230717T230912,5.56,[0],[347]
20230717T230918,4.25,[0],[335]
20230717T230922,4.41,[0],[387]
20230717T230926,2.6,[0],[376]
20230717T230929,5.27,[0],[387]
20230717T230934,7.84,[0],[295]
20230717T230942,2.3,[0],[278]
20230717T230944,8.49,[0],[354]
20230717T230953,1.68,[0],[320]
20230717T230954,6.68,[0],[282]
