Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230717T220545,6.86,[0],[1276]
20230717T220551,7.55,[0],[292]
20230717T220559,1.2,[0],[230]
20230717T220600,5.88,[0],[402]
20230717T220606,2.13,[0],[338]
20230717T220608,5.35,[0],[295]
20230717T220614,3.3,[0],[264]
20230717T220617,6.01,[0],[259]
20230717T220623,4.97,[0],[364]
20230717T220628,2.65,[0],[235]
20230717T220631,8.84,[0],[299]
20230717T220639,8.45,[0],[297]
20230717T220648,4.65,[0],[406]
20230717T220653,5.68,[0],[244]
20230717T220658,2.11,[0],[325]
20230717T220700,7.34,[0],[290]
20230717T220708,1.82,[0],[236]
20230717T220710,3.09,[0],[246]
20230717T220713,1.65,[0],[229]
20230717T220714,5.7,[0],[261]
20230717T220720,2.5,[0],[278]
20230717T220723,3.06,[0],[258]
20230717T220726,6.5,[0],[250]
20230717T220732,5.14,[0],[267]
20230717T220737,7.22,[0],[248]
20230717T220744,3.67,[0],[262]
20230717T220748,1.73,[0],[290]
20230717T220750,6.42,[0],[348]
20230717T220756,1.61,[0],[320]
20230717T220758,4.21,[0],[280]
20230717T220802,8.85,[0],[254]
20230717T220811,8.87,[0],[292]
20230717T220820,6.2,[0],[284]
20230717T220826,2.44,[0],[692]
20230717T220829,4.22,[0],[278]
20230717T220833,1.56,[0],[244]
20230717T220834,6.37,[0],[254]
20230717T220841,6.02,[0],[275]
