Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230717T213631,8.19,[0],[256]
20230717T213640,6.21,[0],[346]
20230717T213646,1.05,[0],[387]
20230717T213647,4.49,[0],[506]
20230717T213651,7.9,[0],[308]
20230717T213659,1.71,[0],[488]
20230717T213701,1.57,[0],[306]
20230717T213702,1.01,[0],[260]
20230717T213704,1.88,[0],[304]
20230717T213705,1.84,[0],[300]
20230717T213707,8.65,[0],[247]
20230717T213716,8.34,[0],[240]
20230717T213724,4.25,[0],[268]
20230717T213729,6.98,[0],[270]
20230717T213736,4.74,[0],[334]
20230717T213740,8.58,[0],[304]
20230717T213749,5.3,[0],[252]
20230717T213754,2.57,[0],[284]
20230717T213757,7.79,[0],[344]
20230717T213805,1.51,[0],[370]
20230717T213806,1.75,[0],[284]
20230717T213808,3.69,[0],[258]
20230717T213812,7.5,[0],[279]
20230717T213819,3.65,[0],[300]
20230717T213823,1.49,[0],[299]
20230717T213824,4.72,[0],[352]
20230717T213829,5.09,[0],[289]
20230717T213834,6.76,[0],[257]
20230717T213841,5.77,[0],[281]
20230717T213847,8.66,[0],[334]
20230717T213855,7.5,[0],[308]
20230717T213903,1.67,[0],[348]
20230717T213904,4.12,[0],[332]
20230717T213909,2.18,[0],[307]
20230717T213911,2.66,[0],[272]
20230717T213913,1.3,[0],[252]
20230717T213915,2.99,[0],[326]
20230717T213918,8.05,[0],[289]
20230717T213926,8.17,[0],[285]
