Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230721T230051,"(0, 1, 0)",8.08,[324],[1]
20230721T230059,"(0, 0, 1)",1.26,[278],[1]
20230721T230100,"(1, 1, 0)",2.72,[349],[1]
20230721T230103,"(0, 1, 0)",5.78,[335],[1]
20230721T230109,"(1, 1, 0)",7.02,[310],[1]
20230721T230116,"(0, 0, 1)",5.1,[249],[1]
20230721T230121,"(1, 0, 0)",6.61,[268],[1]
20230721T230128,"(1, 1, 0)",9.48,[273],[1]
20230721T230137,"(0, 1, 0)",2.29,[251],[1]
20230721T230140,"(1, 1, 0)",6.74,[407],[1]
20230721T230146,"(0, 1, 0)",1.47,[205],[1]
20230721T230148,"(0, 0, 1)",6.51,[334],[1]
20230721T230154,"(0, 1, 0)",2.9,[221],[1]
20230721T230157,"(0, 0, 1)",9.74,[337],[1]
20230721T230207,"(1, 0, 0)",7.74,[287],[1]
20230721T230215,"(1, 1, 0)",3.63,[262],[1]
20230721T230218,"(0, 0, 1)",8.4,[263],[1]
20230721T230227,"(1, 1, 0)",1.45,[243],[1]
20230721T230228,"(0, 0, 1)",7.59,[330],[1]
20230721T230236,"(1, 0, 0)",7.67,[249],[1]
20230721T230244,"(1, 1, 0)",9.6,[292],[1]
20230721T230253,"(0, 1, 0)",2.45,[403],[1]
20230721T230256,"(0, 0, 1)",3.49,[395],[1]
20230721T230259,"(1, 1, 0)",8.51,[303],[1]
20230721T230308,"(0, 0, 1)",3.31,[282],[1]
20230721T230311,"(0, 1, 0)",3.67,[339],[1]
20230721T230315,"(0, 0, 1)",1.09,[307],[1]
20230721T230316,"(1, 1, 0)",9.04,[387],[1]
20230721T230325,"(1, 0, 0)",6.51,[335],[1]
20230721T230331,"(0, 0, 1)",7.74,[311],[1]
20230721T230339,"(0, 1, 0)",3.37,[279],[1]
20230721T230343,"(0, 0, 1)",6.82,[325],[1]
20230721T230349,"(1, 0, 0)",5.74,[261],[1]
20230721T230355,"(0, 0, 1)",9.59,[252],[1]
20230721T230405,"(0, 1, 0)",4.55,[276],[1]
20230721T230409,"(1, 1, 0)",4.0,[355],[1]
20230721T230413,"(1, 0, 0)",5.13,[336],[1]
