Timestamp,Colour presented,Presentation time,Keys pressed,Response Times
20230721T213342,"(0, 1, 0)",5.53,[542],[3]
20230721T213347,"(1, 0, 0)",2.87,[259],[3]
20230721T213350,"(0, 0, 1)",9.62,[259],[3]
20230721T213400,"(0, 1, 0)",9.65,[265],[3]
20230721T213409,"(1, 1, 0)",2.39,[233],[3]
20230721T213412,"(0, 1, 0)",3.35,"[801, 804, 815]","[3, 2, 4]"
20230721T213415,"(0, 0, 1)",9.04,[334],[3]
20230721T213424,"(1, 0, 0)",5.68,[392],[3]
20230721T213430,"(0, 0, 1)",1.63,[261],[3]
20230721T213432,"(1, 0, 0)",3.45,[242],[3]
20230721T213435,"(0, 1, 0)",4.73,[289],[3]
20230721T213440,"(1, 1, 0)",4.72,[326],[3]
20230721T213445,"(1, 0, 0)",6.16,[262],[3]
20230721T213451,"(0, 0, 1)",5.2,[246],[3]
20230721T213456,"(0, 1, 0)",4.14,[481],[3]
20230721T213500,"(1, 0, 0)",1.91,[435],[3]
20230721T213502,"(1, 1, 0)",9.99,[957],[3]
20230721T213512,"(1, 0, 0)",7.18,[380],[3]
20230721T213519,"(1, 1, 0)",5.9,[267],[3]
20230721T213525,"(0, 0, 1)",1.53,[320],[3]
20230721T213527,"(1, 1, 0)",5.66,[418],[3]
20230721T213532,"(0, 1, 0)",2.07,[283],[3]
20230721T213534,"(1, 0, 0)",4.05,[263],[3]
20230721T213539,"(0, 1, 0)",8.92,[235],[3]
20230721T213547,"(1, 1, 0)",5.87,[249],[3]
20230721T213553,"(0, 0, 1)",1.17,[237],[3]
20230721T213555,"(1, 0, 0)",9.85,"[279, 8037]","[3, 3]"
20230721T213604,"(1, 1, 0)",7.84,[288],[3]
20230721T213612,"(0, 1, 0)",7.21,[274],[3]
20230721T213620,"(0, 0, 1)",1.89,[283],[3]
20230721T213621,"(0, 1, 0)",3.37,[308],[3]
20230721T213625,"(1, 1, 0)",9.29,[311],[3]
20230721T213634,"(0, 0, 1)",7.26,[351],[3]
20230721T213641,"(1, 0, 0)",6.53,[252],[3]
20230721T213648,"(0, 0, 1)",5.3,[379],[3]
20230721T213653,"(1, 0, 0)",8.56,[492],[3]
20230721T213702,"(1, 1, 0)",5.23,[271],[3]
20230721T213707,"(0, 1, 0)",7.72,[327],[3]
20230721T213715,"(1, 0, 0)",7.3,[378],[3]
20230721T213722,"(0, 0, 1)",9.71,[237],[3]
20230721T213732,"(1, 1, 0)",8.08,[308],[3]
20230721T213740,"(0, 1, 0)",1.21,[291],[3]
20230721T213741,"(1, 1, 0)",8.56,[380],[3]
20230721T213750,"(1, 0, 0)",2.43,[286],[3]
20230721T213752,"(0, 0, 1)",5.69,[302],[3]
20230721T213758,"(1, 0, 0)",3.68,[290],[3]
20230721T213802,"(1, 1, 0)",5.01,[303],[3]
20230721T213807,"(0, 0, 1)",5.96,[275],[3]
20230721T213813,"(1, 0, 0)",8.1,[273],[3]
